title,slug,old URL,legal issue,current-law issue,duplicate/cannibalization issue,image issue,alt-text issue,category/practice issue,recommended correction,final lawyer-review status,approval readiness,notes
"Can A Landlord Increase Rent Arbitrarily In Ogun","can-a-landlord-increase-rent-arbitrarily-in-ogun","https://chamanlawfirm.com/can-a-landlord-increase-rent-arbitrarily-in-ogun/","Tenancy/current-law and self-help review","Confirm Ogun tenancy/rent-increase position and remove any overbroad tenant/landlord advice.","No live duplicate found, but overlaps with tenancy-law coverage.","no hard image issue found","appears relevant","category/practice present","Keep hidden until lawyer confirms current Ogun tenancy position and title language is cleaned.","not resolved - no lawyer sign-off evidence found in workspace","not ready - lawyer/current-law review unresolved","Best hidden draft: drafts.chamanlawfirm.sprint10i.can-a-landlord-increase-rent-arbitrarily-in-ogun; body blocks: 82; author: Charles Chukwuma Nkwoka, Esq.. Keep hidden until lawyer confirms current Ogun tenancy position and title language is cleaned."
"Certificate Of Occupancy In Rivers State","certificate-of-occupancy-in-rivers-state","https://chamanlawfirm.com/certificate-of-occupancy-in-rivers-state/","C of O/current authority and duplicate review","Confirm Rivers State C of O process only if a separate regional article is still needed.","Public approved article already exists for this target.","no hard image issue found","appears relevant","category/practice present","Do not approve hidden duplicate; merge only unique regional value into the live article if needed.","not applicable - duplicate public target already exists","not ready - duplicate/live public target","Public approved document exists: chamanlawfirm-sprint10l-certificate-of-occupancy-in-rivers-state. Hidden duplicates should not be approved."
"Challenges Of Implementing The Land Use Act","challenges-of-implementing-the-land-use-act","https://chamanlawfirm.com/challenges-of-implementing-the-land-use-act/","Land Use Act/current-law and cannibalization review","Confirm current Land Use Act discussion and avoid unsupported policy/legal conclusions.","High risk of cannibalizing broader Land Use Act and property-title articles.","no hard image issue found","appears relevant","category/practice present","Keep hidden until lawyer narrows the article and confirms current-law framing.","not resolved - no lawyer sign-off evidence found in workspace","not ready - lawyer/current-law review unresolved","Best hidden draft: drafts.chamanlawfirm.sprint10i.challenges-of-implementing-the-land-use-act; body blocks: 55; author: Charles Chukwuma Nkwoka, Esq.. Keep hidden until lawyer narrows the article and confirms current-law framing."
"How Do I Legally Evict a Tenant in Ogun State?","how-do-i-legally-evict-a-tenant-in-ogun-state","https://chamanlawfirm.com/how-do-i-legally-evict-a-tenant-in-ogun-state/","Tenancy/current-law and self-help review","Confirm statutory notice, court process, and remove any self-help implication.","No live duplicate found, but overlaps with tenancy/eviction content.","image relevance needs correction","needs replacement; current alt: Fixed vs. Periodic Tenancy in Lagos: What Every Tenant and Landlord Should Know","category/practice present","Keep hidden; do not approve until lawyer review is complete and a relevant Ogun eviction image/alt is assigned.","not resolved - no lawyer sign-off evidence found in workspace","not ready - image/alt issue","Best hidden draft: drafts.chamanlawfirm.phase5c.how-do-i-legally-evict-a-tenant-in-ogun-state; body blocks: 87; author: Charles Chukwuma Nkwoka, Esq.. Keep hidden; do not approve until lawyer review is complete and a relevant Ogun eviction image/alt is assigned."
"How to calculate stamp duty for property transactions in Ogun?","how-to-calculate-stamp-duty-chaman-law-firm","https://chamanlawfirm.com/how-to-calculate-stamp-duty-chaman-law-firm/","Stamp duty/current-rate review","Confirm current stamp-duty rates and avoid dated transactional advice.","Public approved article already exists for this target.","no hard image issue found","appears relevant","category/practice present","Do not approve hidden duplicate; keep one live canonical page.","not applicable - duplicate public target already exists","not ready - duplicate/live public target","Public approved document exists: chamanlawfirm-sprint10i-how-to-calculate-stamp-duty-chaman-law-firm. Hidden duplicates should not be approved."
"Severe Repercussions of Land Grabbing in Nigeria: What Property Owners Must Know","land-grabbing-the-legal-consequences-of","https://chamanlawfirm.com/land-grabbing-the-legal-consequences-of/","Land-grabbing/current-law and overstatement review","Confirm current legal consequences and soften any unsupported criminal/civil claims.","Medium overlap with land dispute and trespass articles.","no hard image issue found","appears relevant","category/practice present","Keep hidden until lawyer confirms legal consequences and overstatement risk is removed.","not resolved - no lawyer sign-off evidence found in workspace","not ready - lawyer/current-law review unresolved","Best hidden draft: drafts.chamanlawfirm.sprint10h.land-grabbing-the-legal-consequences-of; body blocks: 11; author: Charles Chukwuma Nkwoka, Esq.. Keep hidden until lawyer confirms legal consequences and overstatement risk is removed."
"Property How To Place A Caveat","property-how-to-place-a-caveat","https://chamanlawfirm.com/property-how-to-place-a-caveat/","Property title/procedure review","Confirm current caveat procedure and applicable land registry practice.","Medium overlap with property title/perfection articles.","no hard image issue found","appears relevant","category/practice present","Keep hidden until lawyer confirms procedure and decides whether it should be standalone or merged.","not resolved - no lawyer sign-off evidence found in workspace","not ready - lawyer/current-law review unresolved","Best hidden draft: drafts.chamanlawfirm.sprint10h.property-how-to-place-a-caveat; body blocks: 22; author: Charles Chukwuma Nkwoka, Esq.. Keep hidden until lawyer confirms procedure and decides whether it should be standalone or merged."
"THE ROLE OF FAMILY COURT IN RELATION TO CHILD PROTECTION IN NIGERIA","the-role-of-family-court-in-relation-to-child-protect-in-nigeria","https://chamanlawfirm.com/the-role-of-family-court-in-relation-to-child-protect-in-nigeria/","Family/child-protection sensitivity review","Sensitive child-protection content should remain under already-approved public page only.","Public approved article already exists for this target.","no hard image issue found","appears relevant","category/practice present","Do not approve hidden duplicate; keep single public version.","not applicable - duplicate public target already exists","not ready - duplicate/live public target","Public approved document exists: chamanlawfirm-sprint10i-the-role-of-family-court-in-relation-to-child-protect-in-nigeria. Hidden duplicates should not be approved."
"Void and Voidable Marriages in Nigeria: Understanding Legal Implications","void-and-voidable-marriages-in-nigeria","https://chamanlawfirm.com/void-and-voidable-marriages-in-nigeria/","Family/marriage validity sensitivity review","Confirm Matrimonial Causes Act/customary-law distinctions and avoid personal legal advice.","Medium overlap with family-law education articles.","no hard image issue found","appears relevant","category/practice present","Keep hidden until lawyer confirms marriage-validity statements and sensitivity wording.","not resolved - no lawyer sign-off evidence found in workspace","not ready - lawyer/current-law review unresolved","Best hidden draft: drafts.chamanlawfirm.sprint10h.void-and-voidable-marriages-in-nigeria; body blocks: 59; author: Charles Chukwuma Nkwoka, Esq.. Keep hidden until lawyer confirms marriage-validity statements and sensitivity wording."
"rights-of-a-property-owner-in-nigeria","rights-of-a-property-owner-in-nigeria","https://chamanlawfirm.com/rights-of-a-property-owner-in-nigeria/","Property-rights duplicate review","Source content not found; legal review cannot begin until source recovery is complete.","High risk of duplicate/cannibalization against property rights and land-title pages.","missing image or source missing","missing alt text","category/practice missing or source missing","Recover source first; do not approve.","not resolved - source recovery required","not ready - source missing","No matching hidden or public Sanity post found."
