URL,indexed,current_status,clicks,impressions,average_position,indexing_state,redirect_state,crawl_state,canonical_state,recommended_action,priority,old_url,proposed_target
https://chamanlawfirm.com/,unknown - historical export only,requires live check,1598,78655,25.32,fresh post-launch export missing,historical URL should be checked against live redirect map,unknown,requires live check,monitor homepage authority,238455,https://chamanlawfirm.com/,https://chamanlawfirm.com/
https://chamanlawfirm.com/landlord-and-tenant-rights-in-nigeria/,unknown - historical export only,requires live check,1579,59489,8.76,fresh post-launch export missing,historical URL should be checked against live redirect map,unknown,requires live check,rescue if still 404; otherwise validate redirect/live target,217389,https://chamanlawfirm.com/landlord-and-tenant-rights-in-nigeria/,https://chamanlawfirm.com/resources/blog/landlord-and-tenant-rights-in-nigeria
https://www.chamanlawfirm.com/,unknown - historical export only,requires live check,1452,96316,6.09,fresh post-launch export missing,historical URL should be checked against live redirect map,unknown,requires live check,monitor homepage authority,241516,https://www.chamanlawfirm.com/,https://chamanlawfirm.com/
https://chamanlawfirm.com/obtaining-a-certificate-of-occupancy-c-of-o/,unknown - historical export only,requires live check,1173,39662,4.42,fresh post-launch export missing,historical URL should be checked against live redirect map,unknown,requires live check,rescue if still 404; otherwise validate redirect/live target,156962,https://chamanlawfirm.com/obtaining-a-certificate-of-occupancy-c-of-o/,https://chamanlawfirm.com/resources/blog/obtaining-a-certificate-of-occupancy-c-of-o
https://chamanlawfirm.com/cac-public-search-guide-nigeria/,unknown - historical export only,requires live check,1009,77699,8.95,fresh post-launch export missing,historical URL should be checked against live redirect map,unknown,requires live check,rescue if still 404; otherwise validate redirect/live target,178599,https://chamanlawfirm.com/cac-public-search-guide-nigeria/,https://chamanlawfirm.com/resources/blog/cac-public-search-guide-nigeria
https://chamanlawfirm.com/the-jurisdiction-of-courts-in-nigeria/,unknown - historical export only,requires live check,770,40707,17.01,fresh post-launch export missing,historical URL should be checked against live redirect map,unknown,requires live check,rescue if still 404; otherwise validate redirect/live target,117707,https://chamanlawfirm.com/the-jurisdiction-of-courts-in-nigeria/,https://chamanlawfirm.com/resources/blog/the-jurisdiction-of-courts-in-nigeria
https://chamanlawfirm.com/the-concept-of-rule-of-law-in-nigeria/,unknown - historical export only,requires live check,763,51092,8.05,fresh post-launch export missing,historical URL should be checked against live redirect map,unknown,requires live check,rescue if still 404; otherwise validate redirect/live target,127392,https://chamanlawfirm.com/the-concept-of-rule-of-law-in-nigeria/,https://chamanlawfirm.com/resources/blog/the-concept-of-rule-of-law-in-nigeria
https://chamanlawfirm.com/types-of-tenant-in-nigeria/,unknown - historical export only,requires live check,758,23316,10.41,fresh post-launch export missing,historical URL should be checked against live redirect map,unknown,requires live check,rescue if still 404; otherwise validate redirect/live target,99116,https://chamanlawfirm.com/types-of-tenant-in-nigeria/,https://chamanlawfirm.com/resources/blog/types-of-tenant-in-nigeria
https://chamanlawfirm.com/about-us/,unknown - historical export only,requires live check,733,41803,6.17,fresh post-launch export missing,historical URL should be checked against live redirect map,unknown,requires live check,rescue if still 404; otherwise validate redirect/live target,115103,https://chamanlawfirm.com/about-us/,https://chamanlawfirm.com/resources/blog/about-us
https://chamanlawfirm.com/how-to-change-car-ownership-in-nigeria/,unknown - historical export only,requires live check,731,34973,8.93,fresh post-launch export missing,historical URL should be checked against live redirect map,unknown,requires live check,rescue if still 404; otherwise validate redirect/live target,108073,https://chamanlawfirm.com/how-to-change-car-ownership-in-nigeria/,https://chamanlawfirm.com/resources/blog/how-to-change-car-ownership-in-nigeria
https://chamanlawfirm.com/proper-steps-to-eviction-of-tenants/,unknown - historical export only,requires live check,708,32444,9.43,fresh post-launch export missing,historical URL should be checked against live redirect map,unknown,requires live check,rescue if still 404; otherwise validate redirect/live target,103244,https://chamanlawfirm.com/proper-steps-to-eviction-of-tenants/,https://chamanlawfirm.com/resources/blog/proper-steps-to-eviction-of-tenants
https://chamanlawfirm.com/how-to-track-a-stolen-phone-in-nigeria/,unknown - historical export only,requires live check,689,48652,8.56,fresh post-launch export missing,historical URL should be checked against live redirect map,unknown,requires live check,rescue if still 404; otherwise validate redirect/live target,117552,https://chamanlawfirm.com/how-to-track-a-stolen-phone-in-nigeria/,https://chamanlawfirm.com/resources/blog/how-to-track-a-stolen-phone-in-nigeria
https://chamanlawfirm.com/the-ogun-state-tenancy-law-chaman-law-firm/,unknown - historical export only,requires live check,646,10043,4.93,fresh post-launch export missing,historical URL should be checked against live redirect map,unknown,requires live check,rescue if still 404; otherwise validate redirect/live target,74643,https://chamanlawfirm.com/the-ogun-state-tenancy-law-chaman-law-firm/,https://chamanlawfirm.com/resources/blog/the-ogun-state-tenancy-law-chaman-law-firm
https://chamanlawfirm.com/building-permit-approval-in-ogun-state/,unknown - historical export only,requires live check,629,22729,7.58,fresh post-launch export missing,historical URL should be checked against live redirect map,unknown,requires live check,rescue if still 404; otherwise validate redirect/live target,85629,https://chamanlawfirm.com/building-permit-approval-in-ogun-state/,https://chamanlawfirm.com/resources/blog/building-permit-approval-in-ogun-state
https://chamanlawfirm.com/list-of-government-agencies-of-nigeria/,unknown - historical export only,requires live check,608,70716,15.11,fresh post-launch export missing,historical URL should be checked against live redirect map,unknown,requires live check,rescue if still 404; otherwise validate redirect/live target,131516,https://chamanlawfirm.com/list-of-government-agencies-of-nigeria/,https://chamanlawfirm.com/resources/blog/list-of-government-agencies-of-nigeria
https://chamanlawfirm.com/4-steps-on-how-to-deal-with-a-bad-landlordin/,unknown - historical export only,requires live check,570,14414,5.91,fresh post-launch export missing,historical URL should be checked against live redirect map,unknown,requires live check,rescue if still 404; otherwise validate redirect/live target,71414,https://chamanlawfirm.com/4-steps-on-how-to-deal-with-a-bad-landlordin/,https://chamanlawfirm.com/resources/blog/4-steps-on-how-to-deal-with-a-bad-landlordin
https://chamanlawfirm.com/joinder-of-parties-misjoinder-of-parties/,unknown - historical export only,requires live check,553,15775,7.7,fresh post-launch export missing,historical URL should be checked against live redirect map,unknown,requires live check,rescue if still 404; otherwise validate redirect/live target,71075,https://chamanlawfirm.com/joinder-of-parties-misjoinder-of-parties/,https://chamanlawfirm.com/resources/blog/joinder-of-parties-misjoinder-of-parties
https://chamanlawfirm.com/how-to-change-name-with-deed-poll/,unknown - historical export only,requires live check,531,24126,10.61,fresh post-launch export missing,historical URL should be checked against live redirect map,unknown,requires live check,rescue if still 404; otherwise validate redirect/live target,77226,https://chamanlawfirm.com/how-to-change-name-with-deed-poll/,https://chamanlawfirm.com/resources/blog/how-to-change-name-with-deed-poll
https://chamanlawfirm.com/gain-nigerian-citizenship-by-marriage/,unknown - historical export only,requires live check,505,34961,11.08,fresh post-launch export missing,historical URL should be checked against live redirect map,unknown,requires live check,rescue if still 404; otherwise validate redirect/live target,85461,https://chamanlawfirm.com/gain-nigerian-citizenship-by-marriage/,https://chamanlawfirm.com/resources/blog/gain-nigerian-citizenship-by-marriage
https://chamanlawfirm.com/statutory-right-of-occupancy-vs-customary-right/,unknown - historical export only,requires live check,503,14711,6.28,fresh post-launch export missing,historical URL should be checked against live redirect map,unknown,requires live check,rescue if still 404; otherwise validate redirect/live target,65011,https://chamanlawfirm.com/statutory-right-of-occupancy-vs-customary-right/,https://chamanlawfirm.com/resources/blog/statutory-right-of-occupancy-vs-customary-right
https://chamanlawfirm.com/ways-to-prove-ownership-of-land/,unknown - historical export only,requires live check,442,28020,7.06,fresh post-launch export missing,historical URL should be checked against live redirect map,unknown,requires live check,rescue if still 404; otherwise validate redirect/live target,72220,https://chamanlawfirm.com/ways-to-prove-ownership-of-land/,https://chamanlawfirm.com/resources/blog/ways-to-prove-ownership-of-land
https://chamanlawfirm.com/5-steps-on-how-to-obtain-restraining-order/,unknown - historical export only,requires live check,421,7829,5.55,fresh post-launch export missing,historical URL should be checked against live redirect map,unknown,requires live check,rescue if still 404; otherwise validate redirect/live target,49929,https://chamanlawfirm.com/5-steps-on-how-to-obtain-restraining-order/,https://chamanlawfirm.com/resources/blog/5-steps-on-how-to-obtain-restraining-order
https://chamanlawfirm.com/steps-on-how-to-confidently-report-acrimelaw/,unknown - historical export only,requires live check,414,30229,5.26,fresh post-launch export missing,historical URL should be checked against live redirect map,unknown,requires live check,rescue if still 404; otherwise validate redirect/live target,71629,https://chamanlawfirm.com/steps-on-how-to-confidently-report-acrimelaw/,https://chamanlawfirm.com/resources/blog/steps-on-how-to-confidently-report-acrimelaw
https://chamanlawfirm.com/what-are-elements-of-tax-law/,unknown - historical export only,requires live check,397,10170,9.73,fresh post-launch export missing,historical URL should be checked against live redirect map,unknown,requires live check,rescue if still 404; otherwise validate redirect/live target,49870,https://chamanlawfirm.com/what-are-elements-of-tax-law/,https://chamanlawfirm.com/resources/blog/what-are-elements-of-tax-law
https://chamanlawfirm.com/tax-administration-in-nigeria/,unknown - historical export only,requires live check,376,16882,14.35,fresh post-launch export missing,historical URL should be checked against live redirect map,unknown,requires live check,rescue if still 404; otherwise validate redirect/live target,54482,https://chamanlawfirm.com/tax-administration-in-nigeria/,https://chamanlawfirm.com/resources/blog/tax-administration-in-nigeria
https://chamanlawfirm.com/difference-between-ownership-and-possession/,unknown - historical export only,requires live check,375,13367,9.89,fresh post-launch export missing,historical URL should be checked against live redirect map,unknown,requires live check,rescue if still 404; otherwise validate redirect/live target,50867,https://chamanlawfirm.com/difference-between-ownership-and-possession/,https://chamanlawfirm.com/resources/blog/difference-between-ownership-and-possession
