priority rank,old URL,old title,likely page type,GSC clicks,GSC impressions,average position,current status,classification,recommended final URL,canonical URL,sitemap inclusion status,legal risk,image status,approval status,redirect status,notes
1,https://chamanlawfirm.com/obtaining-a-certificate-of-occupancy-c-of-o,Obtaining A Certificate Of Occupancy C Of O,blog,1173,39662,3.4,redirect configured to /resources/blog/how-do-i-obtain-a-certificate-of-occupancy,exact redirect to existing live equivalent,/resources/blog/how-do-i-obtain-a-certificate-of-occupancy,https://chamanlawfirm.com/resources/blog/how-do-i-obtain-a-certificate-of-occupancy,included,medium - verify current law and facts before publication,image recovery needed,not approved,configured to /resources/blog/how-do-i-obtain-a-certificate-of-occupancy,Broad blog migration remains on hold; restore only through controlled lawyer-reviewed batches.
2,https://chamanlawfirm.com/the-concept-of-rule-of-law-in-nigeria,The Concept Of Rule Of Law In Nigeria,blog,763,51092,8.05,hidden Sanity draft; do not redirect,keep hidden pending image/source repair,/resources/blog/the-concept-of-rule-of-law-in-nigeria,https://chamanlawfirm.com/resources/blog/the-concept-of-rule-of-law-in-nigeria,not checked,low/medium - editorial and legal review still required,image recovery needed,not approved,not configured,Broad blog migration remains on hold; restore only through controlled lawyer-reviewed batches.
3,https://chamanlawfirm.com/how-to-change-car-ownership-in-nigeria,How To Change Car Ownership In Nigeria,blog,731,34973,8.93,live 404,restore as blog post,/resources/blog/how-to-change-car-ownership-in-nigeria,https://chamanlawfirm.com/resources/blog/how-to-change-car-ownership-in-nigeria,not checked,low/medium - editorial and legal review still required,image recovery needed,not approved,not configured,Broad blog migration remains on hold; restore only through controlled lawyer-reviewed batches.
4,https://chamanlawfirm.com/about-us,About Us,static,733,41803,6.17,redirect configured to /about,exact redirect to existing live equivalent,/about,https://chamanlawfirm.com/about,included,low/medium - editorial and legal review still required,image recovery needed,not approved,configured to /about,source body not present in Phase 5C prepared drafts; SEO title requires RankMath/source preservation or rewrite; meta description requires RankMath/source preservation or rewrite; image recovery/fallback required; redirect planning only; do not publish as article without equivalent content
5,https://chamanlawfirm.com/how-to-track-a-stolen-phone-in-nigeria,How To Track A Stolen Phone In Nigeria,blog,689,48652,8.56,live 404,restore as blog post,/resources/blog/how-to-track-a-stolen-phone-in-nigeria,https://chamanlawfirm.com/resources/blog/how-to-track-a-stolen-phone-in-nigeria,not checked,low/medium - editorial and legal review still required,image recovery needed,not approved,not configured,Broad blog migration remains on hold; restore only through controlled lawyer-reviewed batches.
6,https://chamanlawfirm.com/list-of-government-agencies-of-nigeria,List Of Government Agencies Of Nigeria,blog,608,70716,15.11,live 404,restore as blog post,/resources/blog/list-of-government-agencies-of-nigeria,https://chamanlawfirm.com/resources/blog/list-of-government-agencies-of-nigeria,not checked,low/medium - editorial and legal review still required,image recovery needed,not approved,not configured,Broad blog migration remains on hold; restore only through controlled lawyer-reviewed batches.
7,https://chamanlawfirm.com/apply-for-drivers-licence-in-nigeria,Apply For Drivers Licence In Nigeria,blog,373,102871,10.7,live 404,restore as blog post,/resources/blog/apply-for-drivers-licence-in-nigeria,https://chamanlawfirm.com/resources/blog/apply-for-drivers-licence-in-nigeria,not checked,low/medium - editorial and legal review still required,image recovery needed,not approved,not configured,Broad blog migration remains on hold; restore only through controlled lawyer-reviewed batches.
8,https://chamanlawfirm.com/gain-nigerian-citizenship-by-marriage,Gain Nigerian Citizenship By Marriage,service,505,34961,11.08,redirect configured to /practice-areas/immigration-services,exact redirect to existing live equivalent,/practice-areas/immigration-services,https://chamanlawfirm.com/practice-areas/immigration-services,included,high - lawyer review required before publication,image recovery needed,not approved,configured to /practice-areas/immigration-services,source body not present in Phase 5C prepared drafts; SEO title requires RankMath/source preservation or rewrite; meta description requires RankMath/source preservation or rewrite; image recovery/fallback required; redirect planning only; do not publish as article without equivalent content
9,https://chamanlawfirm.com/steps-on-how-to-confidently-report-acrimelaw,Steps On How To Confidently Report Acrimelaw,blog,414,30229,5.26,hidden Sanity draft; do not redirect,keep hidden pending image/source repair,/resources/blog/steps-on-how-to-confidently-report-acrimelaw,https://chamanlawfirm.com/resources/blog/steps-on-how-to-confidently-report-acrimelaw,not checked,low/medium - editorial and legal review still required,image and alt present in hidden Sanity draft,not approved,not configured,Broad blog migration remains on hold; restore only through controlled lawyer-reviewed batches.
10,https://chamanlawfirm.com/polygamy-and-multiple-marriages-in-nigeria,Polygamy And Multiple Marriages In Nigeria,service,262,65029,8.88,redirect configured to /practice-areas/family-law,exact redirect to existing live equivalent,/practice-areas/family-law,https://chamanlawfirm.com/practice-areas/family-law,included,high - lawyer review required before publication,image and alt present in hidden Sanity draft,not approved,configured to /practice-areas/family-law,source body not present in Phase 5C prepared drafts; SEO title requires RankMath/source preservation or rewrite; meta description requires RankMath/source preservation or rewrite; image recovery/fallback required
