priority rank,old URL,old title,old meta description,old page type,old content found yes/no,image found yes/no,clicks,impressions,current status,recommended new route,recommended action,redirect target,needs new page yes/no,legal review status,SEO risk level,notes
1,https://chamanlawfirm.com/,Home,,static/legacy page,unknown,yes,1598,78655,live production route,,Keep hidden pending legal review,,yes,pending,medium,Review content before restoring or redirecting.
2,https://www.chamanlawfirm.com/,Home,,static/legacy page,unknown,yes,1452,96316,redirects to apex,,Keep hidden pending legal review,,yes,pending,medium,Review content before restoring or redirecting.
3,https://chamanlawfirm.com/about-us/,About,,brand/navigation page,unknown,yes,733,41803,redirect configured,/about,Redirect to current exact practice page,/about,no,pending,low,Use exact modern route after verification.
4,https://chamanlawfirm.com/category/top-law-firm-blog/page/2/,Blog archive,,archive/system page,unknown,no,5,18,not restored as page,,Reject/archive/noindex,,no,pending,low,System/archive URL should not be restored as a public service page.
5,https://chamanlawfirm.com/gain-nigerian-citizenship-by-marriage/,Gain Nigerian Citizenship By Marriage,,static/legacy page,unknown,no,505,34961,redirects to practice area,,Keep hidden pending legal review,,yes,pending,medium,Review content before restoring or redirecting.
6,https://chamanlawfirm.com/how-to-legally-change-a-child-surname/,How To Legally Change A Child Surname,,static/legacy page,unknown,no,180,10512,redirects to family law,,Keep hidden pending legal review,,yes,pending,medium,Review content before restoring or redirecting.
7,https://chamanlawfirm.com/the-role-of-the-judiciary-in-nigerian-democracy/,The Role Of The Judiciary In Nigerian Democracy,,static/legacy page,unknown,no,177,8272,redirects to litigation,,Keep hidden pending legal review,,yes,pending,medium,Review content before restoring or redirecting.
8,https://chamanlawfirm.com/how-to-verify-land-title-before-buying-land/,How To Verify Land Title Before Buying Land,,service/practice authority page,unknown,no,154,8738,redirects to property law,/practice-areas/property-real-estate-law/[service],Restore as service landing page,/practice-areas/property-real-estate-law/[service],yes,pending,medium,Potential ranking value; needs controlled static-page sprint and lawyer review.
9,https://chamanlawfirm.com/the-nigerian-legal-system/,The Nigerian Legal System,,static/legacy page,unknown,no,145,21767,unrestored,,Keep hidden pending legal review,,yes,pending,medium,Review content before restoring or redirecting.
10,https://chamanlawfirm.com/tthe-legal-rights-of-a-wife-after-divorce/,Tthe Legal Rights Of A Wife After Divorce,,static/legacy page,unknown,no,138,7285,redirects to family law,,Keep hidden pending legal review,,yes,pending,medium,Review content before restoring or redirecting.
11,https://chamanlawfirm.com/rights-of-a-property-owner-in-nigeria/,Rights Of A Property Owner In Nigeria,,service/practice authority page,unknown,no,105,7442,unrestored,/practice-areas/property-real-estate-law/[service],Restore as service landing page,/practice-areas/property-real-estate-law/[service],yes,pending,medium,Potential ranking value; needs controlled static-page sprint and lawyer review.
12,https://chamanlawfirm.com/land-use-act-1978/,Land Use Act 1978,,service/practice authority page,unknown,no,96,15652,unrestored,/practice-areas/property-real-estate-law/[service],Restore as service landing page,/practice-areas/property-real-estate-law/[service],yes,pending,medium,Potential ranking value; needs controlled static-page sprint and lawyer review.
13,https://chamanlawfirm.com/about-chaman-law-firm/,About Chaman Law Firm,,brand/navigation page,unknown,no,83,7680,unrestored,/about,Redirect to current exact practice page,/about,no,pending,low,Use exact modern route after verification.
14,https://chamanlawfirm.com/contact-for-legal-consultation/,Contact For Legal Consultation,,brand/navigation page,unknown,no,74,7109,unrestored,/contact,Redirect to current exact practice page,/contact,no,pending,low,Use exact modern route after verification.
15,https://chamanlawfirm.com/documents-to-verify-before-buying-property/,Documents To Verify Before Buying Property,,service/practice authority page,unknown,no,63,4881,unrestored,/practice-areas/property-real-estate-law/[service],Restore as service landing page,/practice-areas/property-real-estate-law/[service],yes,pending,medium,Potential ranking value; needs controlled static-page sprint and lawyer review.
