Date,Clicks,Impressions,CTR,Position
2025-06-19,441,31516,1.4%,24.8
2025-06-20,269,25352,1.06%,25.1
2025-06-21,273,19783,1.38%,24.1
2025-06-22,285,20469,1.39%,22
2025-06-23,409,23750,1.72%,20.8
2025-06-24,387,26140,1.48%,21.3
2025-06-25,316,24783,1.28%,22.8
2025-06-26,339,20571,1.65%,20
2025-06-27,271,20095,1.35%,23.6
2025-06-28,239,18596,1.29%,24.6
2025-06-29,268,18147,1.48%,23.8
2025-06-30,356,22664,1.57%,21.3
2025-07-01,355,17787,2%,13.8
2025-07-02,310,34434,0.9%,27.3
2025-07-03,304,27075,1.12%,23.6
2025-07-04,312,21737,1.44%,24.1
2025-07-05,181,17787,1.02%,24.8
2025-07-06,255,17676,1.44%,22.7
2025-07-07,332,21496,1.54%,21.7
2025-07-08,350,22028,1.59%,23.2
2025-07-09,357,21851,1.63%,23.3
2025-07-10,248,20497,1.21%,23.8
2025-07-11,242,15850,1.53%,22.9
2025-07-12,240,19471,1.23%,28.4
2025-07-13,232,16335,1.42%,24.1
2025-07-14,301,20223,1.49%,21.1
2025-07-15,332,23806,1.39%,24.1
2025-07-16,326,22185,1.47%,22.1
2025-07-17,305,22678,1.34%,22.4
2025-07-18,267,20600,1.3%,25.6
2025-07-19,216,17452,1.24%,27.8
2025-07-20,212,17731,1.2%,25.4
2025-07-21,336,22268,1.51%,22.2
2025-07-22,338,23813,1.42%,23.2
2025-07-23,324,24225,1.34%,22.9
2025-07-24,293,24161,1.21%,22.6
2025-07-25,278,21484,1.29%,23.4
2025-07-26,181,14396,1.26%,25
2025-07-27,201,12208,1.65%,19.7
2025-07-28,317,19632,1.61%,21
2025-07-29,323,18954,1.7%,19.9
2025-07-30,314,18827,1.67%,19.7
2025-07-31,276,17954,1.54%,20.8
2025-08-01,227,16401,1.38%,22.2
2025-08-02,188,13779,1.36%,24.2
2025-08-03,209,13691,1.53%,23.6
2025-08-04,310,17522,1.77%,20
2025-08-05,305,20855,1.46%,21.7
2025-08-06,296,18316,1.62%,21.2
2025-08-07,247,18087,1.37%,21.7
2025-08-08,238,17019,1.4%,22.4
2025-08-09,181,15182,1.19%,23.6
2025-08-10,198,15878,1.25%,21.7
2025-08-11,265,19367,1.37%,20.1
2025-08-12,259,20234,1.28%,21.8
2025-08-13,287,20483,1.4%,21.5
2025-08-14,259,19231,1.35%,22.2
2025-08-15,213,17372,1.23%,23.5
2025-08-16,148,14016,1.06%,25.7
2025-08-17,171,14195,1.2%,23.8
2025-08-18,263,17899,1.47%,20.5
2025-08-19,269,20471,1.31%,22.4
2025-08-20,252,19379,1.3%,24.2
2025-08-21,246,18251,1.35%,22.9
2025-08-22,181,16195,1.12%,24.6
2025-08-23,125,13442,0.93%,28.8
2025-08-24,169,13921,1.21%,25.1
2025-08-25,232,17599,1.32%,22.4
2025-08-26,217,19560,1.11%,24.5
2025-08-27,229,18319,1.25%,24.2
2025-08-28,219,17157,1.28%,23.3
2025-08-29,217,15505,1.4%,24.5
2025-08-30,162,13423,1.21%,26.5
2025-08-31,155,12971,1.19%,25.3
2025-09-01,203,13456,1.51%,17.4
2025-09-02,216,13620,1.59%,17.8
2025-09-03,210,19377,1.08%,27.1
2025-09-04,208,29428,0.71%,35.9
2025-09-05,166,16508,1.01%,26.9
2025-09-06,135,19409,0.7%,33.4
2025-09-07,144,16855,0.85%,28.8
2025-09-08,223,17964,1.24%,21.4
2025-09-09,210,17833,1.18%,22.9
2025-09-10,224,18017,1.24%,22.7
2025-09-11,202,17450,1.16%,22.3
2025-09-12,170,14552,1.17%,16.4
2025-09-13,122,9232,1.32%,9.8
2025-09-14,142,9480,1.5%,11.4
2025-09-15,216,12752,1.69%,10.5
2025-09-16,202,13528,1.49%,8.9
2025-09-17,195,13536,1.44%,8.6
2025-09-18,202,14571,1.39%,14.3
2025-09-19,157,19719,0.8%,27.4
2025-09-20,123,13074,0.94%,21.9
2025-09-21,143,9710,1.47%,10.1
2025-09-22,193,14910,1.29%,9.3
2025-09-23,190,14469,1.31%,9.4
2025-09-24,231,13546,1.71%,9.4
2025-09-25,171,12855,1.33%,9
2025-09-26,149,13762,1.08%,9.3
2025-09-27,125,9348,1.34%,10.3
2025-09-28,146,10985,1.33%,9.5
2025-09-29,219,13399,1.63%,8.7
2025-09-30,186,12407,1.5%,9.6
2025-10-01,162,10767,1.5%,9.4
2025-10-02,185,14307,1.29%,8.9
2025-10-03,162,10833,1.5%,9.3
2025-10-04,119,8862,1.34%,10.1
2025-10-05,152,11360,1.34%,9.2
2025-10-06,203,13609,1.49%,8.8
2025-10-07,200,13450,1.49%,9.3
2025-10-08,198,13047,1.52%,9
2025-10-09,170,12528,1.36%,9.1
2025-10-10,139,15281,0.91%,20.8
2025-10-11,124,11446,1.08%,15.4
2025-10-12,166,11226,1.48%,9.3
2025-10-13,212,12747,1.66%,8.7
2025-10-14,225,12816,1.76%,9
2025-10-15,198,12757,1.55%,9
2025-10-16,215,12802,1.68%,9.1
2025-10-17,180,12513,1.44%,8.8
2025-10-18,121,9372,1.29%,10
2025-10-19,144,11319,1.27%,9.1
2025-10-20,211,12922,1.63%,8.5
2025-10-21,175,12347,1.42%,8.7
2025-10-22,170,11117,1.53%,9.1
2025-10-23,185,11156,1.66%,9.4
2025-10-24,167,9820,1.7%,9
2025-10-25,103,8227,1.25%,9.4
2025-10-26,130,9179,1.42%,9.3
2025-10-27,193,11841,1.63%,8.8
2025-10-28,161,11676,1.38%,9
2025-10-29,177,11147,1.59%,9
2025-10-30,170,11125,1.53%,9.4
2025-10-31,106,10143,1.05%,9.6
2025-11-01,114,8508,1.34%,9.6
2025-11-02,148,11144,1.33%,9
2025-11-03,214,13955,1.53%,10.2
2025-11-04,192,12420,1.55%,8.6
2025-11-05,197,12859,1.53%,8.7
2025-11-06,187,12301,1.52%,8.7
2025-11-07,160,10519,1.52%,9
2025-11-08,102,9029,1.13%,9.5
2025-11-09,139,12126,1.15%,8.6
2025-11-10,215,13822,1.56%,8.4
2025-11-11,191,15362,1.24%,8.4
2025-11-12,203,15181,1.34%,8.5
2025-11-13,186,14056,1.32%,9.2
2025-11-14,147,12227,1.2%,10.6
2025-11-15,139,8805,1.58%,10.5
2025-11-16,144,10341,1.39%,10.3
2025-11-17,204,12820,1.59%,10.8
2025-11-18,178,13215,1.35%,11
2025-11-19,172,13056,1.32%,10.7
2025-11-20,163,13212,1.23%,10.6
2025-11-21,121,11294,1.07%,10.6
2025-11-22,124,9119,1.36%,11
2025-11-23,150,11032,1.36%,11.4
2025-11-24,178,13950,1.28%,11.2
2025-11-25,186,15794,1.18%,11
2025-11-26,206,15768,1.31%,10.8
2025-11-27,165,14963,1.1%,11.6
2025-11-28,171,12827,1.33%,9.9
2025-11-29,112,11445,0.98%,9.6
2025-11-30,172,11671,1.47%,10.1
2025-12-01,191,15128,1.26%,9.8
