slug,public_records_before,canonical_record,secondary_record,unique_content_merged,secondary_final_status,public_records_after,result
navigating-the-probate-registry-in-ogun-state,2,chamanlawfirm-legacy-public-navigating-the-probate-registry-in-ogun-state,chamanlawfirm-sprint10n-navigating-the-probate-registry-in-ogun-state,not_needed_canonical_more_complete,hidden/source archive,1,duplicate public slug cleaned
disputes-arising-from-property-ownership,2,chamanlawfirm-legacy-public-disputes-arising-from-property-ownership,chamanlawfirm-sprint10o-disputes-arising-from-property-ownership,not_needed_canonical_more_complete,hidden/source archive,1,duplicate public slug cleaned
legal-processes-of-transferring-property,2,chamanlawfirm-legacy-public-legal-processes-of-transferring-property,chamanlawfirm-sprint10n-legal-processes-of-transferring-property,not_needed_canonical_more_complete,hidden/source archive,1,duplicate public slug cleaned
legal-assistance-for-visa-appeals-5-step,2,chamanlawfirm-legacy-public-legal-assistance-for-visa-appeals-5-step,chamanlawfirm-sprint10o-legal-assistance-for-visa-appeals-5-step,not_needed_canonical_more_complete,hidden/source archive,1,duplicate public slug cleaned
verify-land-ownership-with-the-lagos-state,2,chamanlawfirm-legacy-public-verify-land-ownership-with-the-lagos-state,chamanlawfirm-sprint10n-verify-land-ownership-with-the-lagos-state,not_needed_canonical_more_complete,hidden/source archive,1,duplicate public slug cleaned
land-tenure-systems-coexist-with-statutory-land,2,chamanlawfirm-legacy-public-land-tenure-systems-coexist-with-statutory-land,chamanlawfirm-sprint10o-land-tenure-systems-coexist-with-statutory-land,not_needed_canonical_more_complete,hidden/source archive,1,duplicate public slug cleaned
proven-steps-on-capacity-to-make-a-will,2,chamanlawfirm-legacy-public-proven-steps-on-capacity-to-make-a-will,chamanlawfirm-sprint10o-proven-steps-on-capacity-to-make-a-will,not_needed_canonical_more_complete,hidden/source archive,1,duplicate public slug cleaned
tax-planning-and-avoidance-in-nigeria,2,chamanlawfirm-legacy-public-tax-planning-and-avoidance-in-nigeria,chamanlawfirm-sprint10n-tax-planning-and-avoidance-in-nigeria,not_needed_canonical_more_complete,hidden/source archive,1,duplicate public slug cleaned
the-process-of-transferring-land-in-nigeria,2,chamanlawfirm-legacy-public-the-process-of-transferring-land-in-nigeria,chamanlawfirm-sprint10o-the-process-of-transferring-land-in-nigeria,not_needed_canonical_more_complete,hidden/source archive,1,duplicate public slug cleaned
land-titles-in-nigeria,2,chamanlawfirm-legacy-public-land-titles-in-nigeria,chamanlawfirm-sprint10q-land-titles-in-nigeria,not_needed_canonical_more_complete,hidden/source archive,1,duplicate public slug cleaned
ways-to-prove-ownership-of-land,2,chamanlawfirm-legacy-public-ways-to-prove-ownership-of-land,chamanlawfirm-phase5c-ways-to-prove-ownership-of-land,not_needed_canonical_more_complete,hidden/source archive,1,duplicate public slug cleaned
immigration-law-at-chaman-law-firm,2,chamanlawfirm-legacy-public-immigration-law-at-chaman-law-firm,chamanlawfirm-sprint10q-immigration-law-at-chaman-law-firm,not_needed_canonical_more_complete,hidden/source archive,1,duplicate public slug cleaned
how-is-land-registry-practice-in-nigeria,2,chamanlawfirm-legacy-public-how-is-land-registry-practice-in-nigeria,chamanlawfirm-sprint10n-how-is-land-registry-practice-in-nigeria,not_needed_canonical_more_complete,hidden/source archive,1,duplicate public slug cleaned
challenge-a-fraudulent-probate-application,2,chamanlawfirm-legacy-public-challenge-a-fraudulent-probate-application,chamanlawfirm-sprint10t-challenge-a-fraudulent-probate-application,not_needed_canonical_more_complete,hidden/source archive,1,duplicate public slug cleaned
the-ogun-state-tenancy-law-chaman-law-firm,2,chamanlawfirm-legacy-public-the-ogun-state-tenancy-law-chaman-law-firm,chamanlawfirm-phase5c-the-ogun-state-tenancy-law-chaman-law-firm,not_needed_canonical_more_complete,hidden/source archive,1,duplicate public slug cleaned
maxims-of-equity,2,chamanlawfirm-legacy-public-maxims-of-equity,chamanlawfirm-sprint11l-maxims-of-equity,not_needed_canonical_more_complete,hidden/source archive,1,duplicate public slug cleaned
legal-research-for-nigerian-litigation-cases,2,chamanlawfirm-legacy-public-legal-research-for-nigerian-litigation-cases,chamanlawfirm-sprint10n-legal-research-for-nigerian-litigation-cases,not_needed_canonical_more_complete,hidden/source archive,1,duplicate public slug cleaned
corporate-fraud-and-mismanagement,2,chamanlawfirm-legacy-public-corporate-fraud-and-mismanagement,chamanlawfirm-sprint10o-corporate-fraud-and-mismanagement,not_needed_canonical_more_complete,hidden/source archive,1,duplicate public slug cleaned
5-proven-roles-of-a-child-adoption-lawyer,2,chamanlawfirm-legacy-public-5-proven-roles-of-a-child-adoption-lawyer,chamanlawfirm-sprint10q-5-proven-roles-of-a-child-adoption-lawyer,not_needed_canonical_more_complete,hidden/source archive,1,duplicate public slug cleaned
developer-fails-to-deliver-property,2,chamanlawfirm-legacy-public-developer-fails-to-deliver-property,chamanlawfirm-sprint10i-developer-fails-to-deliver-property,not_needed_canonical_more_complete,hidden/source archive,1,duplicate public slug cleaned
land-use-act-and-its-role-in-land-allocation,2,chamanlawfirm-legacy-public-land-use-act-and-its-role-in-land-allocation,chamanlawfirm-sprint10l-land-use-act-and-its-role-in-land-allocation,not_needed_canonical_more_complete,hidden/source archive,1,duplicate public slug cleaned
the-statutory-right-of-occupancy-in-nigeria,2,chamanlawfirm-legacy-public-the-statutory-right-of-occupancy-in-nigeria,chamanlawfirm-phase5c-the-statutory-right-of-occupancy-in-nigeria,not_needed_canonical_more_complete,hidden/source archive,1,duplicate public slug cleaned
building-permit-approval-in-ogun-state,2,chamanlawfirm-legacy-public-building-permit-approval-in-ogun-state,chamanlawfirm-phase5c-building-permit-approval-in-ogun-state,not_needed_canonical_more_complete,hidden/source archive,1,duplicate public slug cleaned
role-of-stamp-duty-in-property-transactions,2,chamanlawfirm-legacy-public-role-of-stamp-duty-in-property-transactions,chamanlawfirm-sprint10k-role-of-stamp-duty-in-property-transactions,not_needed_canonical_more_complete,hidden/source archive,1,duplicate public slug cleaned
basic-elements-of-defamatory-statement,2,chamanlawfirm-legacy-public-basic-elements-of-defamatory-statement,chamanlawfirm-sprint11n-basic-elements-of-defamatory-statement,not_needed_canonical_more_complete,hidden/source archive,1,duplicate public slug cleaned
how-to-notarize-a-document-in-nigeria,2,chamanlawfirm-legacy-public-how-to-notarize-a-document-in-nigeria,chamanlawfirm-phase5c-how-to-notarize-a-document-in-nigeria,not_needed_canonical_more_complete,hidden/source archive,1,duplicate public slug cleaned
statutory-right-of-occupancy-vs-customary-right,2,chamanlawfirm-legacy-public-statutory-right-of-occupancy-vs-customary-right,chamanlawfirm-sprint10f-statutory-right-of-occupancy-vs-customary-right,not_needed_canonical_more_complete,hidden/source archive,1,duplicate public slug cleaned
contractual-dispute-resolution,2,chamanlawfirm-legacy-public-contractual-dispute-resolution,chamanlawfirm-sprint10o-contractual-dispute-resolution,not_needed_canonical_more_complete,hidden/source archive,1,duplicate public slug cleaned
intellectual-property-in-franchise-operations,2,chamanlawfirm-legacy-public-intellectual-property-in-franchise-operations,chamanlawfirm-sprint10o-intellectual-property-in-franchise-operations,not_needed_canonical_more_complete,hidden/source archive,1,duplicate public slug cleaned
statute-of-limitations-on-debt-in-nigeria,2,chamanlawfirm-legacy-public-statute-of-limitations-on-debt-in-nigeria,chamanlawfirm-phase5c-statute-of-limitations-on-debt-in-nigeria,not_needed_canonical_more_complete,hidden/source archive,1,duplicate public slug cleaned
