legacy_url,previous_status,current_status,public_target,http_status,redirect_status,why_closed,evidence,valid_closure_yes_no
https://chamanlawfirm.com/0btain-guide-on-how-to-obtain-tax,hidden_source_imported,LIVE_BLOG_CANONICAL,https://chamanlawfirm.com/resources/blog/0btain-guide-on-how-to-obtain-tax,200 route evidence,,Sanity has approved public blog slug and canonical blog route,Sanity/config/static route evidence,yes
https://chamanlawfirm.com/10-proven-insights-into-tenancy-law-in-lago,hidden_source_imported,LIVE_BLOG_CANONICAL,https://chamanlawfirm.com/resources/blog/10-proven-insights-into-tenancy-law-in-lago,200 route evidence,,Sanity has approved public blog slug and canonical blog route,Sanity/config/static route evidence,yes
https://chamanlawfirm.com/2024,missing_not_imported,UNRESOLVED_HIGH_VALUE,/resources/blog/2024,not closed,,not closed,ledger and source evidence only,no
https://chamanlawfirm.com/3-cybersecurity-laws-and-regulations-in-nig,missing_not_imported,UNRESOLVED_HIGH_VALUE,/resources/blog/3-cybersecurity-laws-and-regulations-in-nig,not closed,,not closed,ledger and source evidence only,no
https://chamanlawfirm.com/3-proven-steps-on-how-to-rolve-land-disputes,redirected_to_live_blog,LIVE_BLOG_CANONICAL,https://chamanlawfirm.com/resources/blog/3-proven-steps-on-how-to-rolve-land-disputes,200 route evidence,,Sanity has approved public blog slug and canonical blog route,Sanity/config/static route evidence,yes
https://chamanlawfirm.com/4-main-guide-to-land-ownership-in-nigeria,redirected_to_live_blog,LIVE_BLOG_CANONICAL,https://chamanlawfirm.com/resources/blog/4-main-guide-to-land-ownership-in-nigeria,200 route evidence,,Sanity has approved public blog slug and canonical blog route,Sanity/config/static route evidence,yes
https://chamanlawfirm.com/4-proven-cross-border-cybercrime-issues,redirected_to_live_blog,LIVE_BLOG_CANONICAL,https://chamanlawfirm.com/resources/blog/4-proven-cross-border-cybercrime-issues,200 route evidence,,Sanity has approved public blog slug and canonical blog route,Sanity/config/static route evidence,yes
https://chamanlawfirm.com/4-proven-features-of-customary-marriage-and-the-bill-of-rights-conflicting-interests,redirected_to_live_blog,LIVE_BLOG_CANONICAL,https://chamanlawfirm.com/resources/blog/4-proven-features-of-customary-marriage-and-the-bill-of-rights-conflicting-interests,200 route evidence,,Sanity has approved public blog slug and canonical blog route,Sanity/config/static route evidence,yes
https://chamanlawfirm.com/4-proven-steps-on-how-to-enforce-a-contract,merged_redirected_to_live_page,LIVE_BLOG_CANONICAL,https://chamanlawfirm.com/resources/blog/4-proven-steps-on-how-to-enforce-a-contract,200 route evidence,configured one-hop,Sanity has approved public blog slug and canonical blog route,Sanity/config/static route evidence,yes
https://chamanlawfirm.com/5-cyber-law-and-digital-rights-management,missing_not_imported,UNRESOLVED_HIGH_VALUE,/resources/blog/5-cyber-law-and-digital-rights-management,not closed,,not closed,ledger and source evidence only,no
https://chamanlawfirm.com/5-essential-steps-for-establishing-legal-paternity-and-maternity,missing_not_imported,UNRESOLVED_HIGH_VALUE,/resources/blog/5-essential-steps-for-establishing-legal-paternity-and-maternity,not closed,,not closed,ledger and source evidence only,no
https://chamanlawfirm.com/5-lis-pendens-understanding-the-doctrine,hidden_source_imported,LIVE_BLOG_CANONICAL,https://chamanlawfirm.com/resources/blog/5-lis-pendens-understanding-the-doctrine,200 route evidence,,Sanity has approved public blog slug and canonical blog route,Sanity/config/static route evidence,yes
https://chamanlawfirm.com/5-proven-roles-of-a-child-adoption-lawyer,redirected_to_live_blog,LIVE_BLOG_CANONICAL,https://chamanlawfirm.com/resources/blog/5-proven-roles-of-a-child-adoption-lawyer,200 route evidence,,Sanity has approved public blog slug and canonical blog route,Sanity/config/static route evidence,yes
https://chamanlawfirm.com/5-reasonsthe-importance-of-pleading,missing_not_imported,UNRESOLVED_HIGH_VALUE,/resources/blog/5-reasonsthe-importance-of-pleading,not closed,,not closed,ledger and source evidence only,no
https://chamanlawfirm.com/5-ways-to-avoid-property-scam-in-nigeria,hidden_source_imported,LIVE_BLOG_CANONICAL,https://chamanlawfirm.com/resources/blog/5-ways-to-avoid-property-scam-in-nigeria,200 route evidence,,Sanity has approved public blog slug and canonical blog route,Sanity/config/static route evidence,yes
https://chamanlawfirm.com/6-proven-steps-to-labor-dispute-resolution,missing_not_imported,UNRESOLVED_HIGH_VALUE,/resources/blog/6-proven-steps-to-labor-dispute-resolution,not closed,,not closed,ledger and source evidence only,no
https://chamanlawfirm.com/7-effective-steps-to-take-when-a-landlord-refuses-to-return-your-rent-deposit,merged_redirected_to_live_page,LIVE_BLOG_CANONICAL,https://chamanlawfirm.com/resources/blog/7-effective-steps-to-take-when-a-landlord-refuses-to-return-your-rent-deposit,200 route evidence,configured one-hop,Sanity has approved public blog slug and canonical blog route,Sanity/config/static route evidence,yes
https://chamanlawfirm.com/7-legal-advice-for-employee-misconduct-cases,missing_not_imported,UNRESOLVED_HIGH_VALUE,/resources/blog/7-legal-advice-for-employee-misconduct-cases,not closed,,not closed,ledger and source evidence only,no
https://chamanlawfirm.com/7-step-citizenship-application-in-nigeria,merged_redirected_to_live_page,LIVE_BLOG_CANONICAL,https://chamanlawfirm.com/resources/blog/7-step-citizenship-application-in-nigeria,200 route evidence,configured one-hop,Sanity has approved public blog slug and canonical blog route,Sanity/config/static route evidence,yes
https://chamanlawfirm.com/7-steps-on-how-to-use-small-claims-court,hidden_source_imported,LIVE_BLOG_CANONICAL,https://chamanlawfirm.com/resources/blog/7-steps-on-how-to-use-small-claims-court,200 route evidence,,Sanity has approved public blog slug and canonical blog route,Sanity/config/static route evidence,yes
https://chamanlawfirm.com/8-step-business-registration-process-in-lag,redirected_to_live_blog,LIVE_BLOG_CANONICAL,https://chamanlawfirm.com/resources/blog/8-step-business-registration-process-in-lag,200 route evidence,,Sanity has approved public blog slug and canonical blog route,Sanity/config/static route evidence,yes
https://chamanlawfirm.com/8-steps-on-how-to-file-a-lawsuit-in-nigeria-a-comprehensive-guide-to-the-legal-process,missing_not_imported,UNRESOLVED_HIGH_VALUE,/resources/blog/8-steps-on-how-to-file-a-lawsuit-in-nigeria-a-comprehensive-guide-to-the-legal-process,not closed,,not closed,ledger and source evidence only,no
https://chamanlawfirm.com/8-steps-to-enforce-court-judgments-innigeria,redirected_to_live_blog,LIVE_BLOG_CANONICAL,https://chamanlawfirm.com/resources/blog/8-steps-to-enforce-court-judgments-innigeria,200 route evidence,,Sanity has approved public blog slug and canonical blog route,Sanity/config/static route evidence,yes
https://chamanlawfirm.com/9-cyber-crime-prosecution-breakthrough-ch,redirected_to_live_blog,LIVE_BLOG_CANONICAL,https://chamanlawfirm.com/resources/blog/9-cyber-crime-prosecution-breakthrough-ch,200 route evidence,,Sanity has approved public blog slug and canonical blog route,Sanity/config/static route evidence,yes
https://chamanlawfirm.com/a-complete-guide-on-how-to-legalise-or-attest-a-document-in-nigeria,missing_not_imported,UNRESOLVED_HIGH_VALUE,/resources/blog/a-complete-guide-on-how-to-legalise-or-attest-a-document-in-nigeria,not closed,,not closed,ledger and source evidence only,no
https://chamanlawfirm.com/a-complete-guide-on-how-to-legalize-or-attes,missing_not_imported,UNRESOLVED_HIGH_VALUE,/resources/blog/a-complete-guide-on-how-to-legalize-or-attes,not closed,,not closed,ledger and source evidence only,no
https://chamanlawfirm.com/a-complete-guide-on-how-to-register-a-company-in-nigeria,redirected_to_live_blog,LIVE_BLOG_CANONICAL,https://chamanlawfirm.com/resources/blog/a-complete-guide-on-how-to-register-a-company-in-nigeria,200 route evidence,,Sanity has approved public blog slug and canonical blog route,Sanity/config/static route evidence,yes
https://chamanlawfirm.com/a-will-made-abroad-cover-property-in-ogun,hidden_source_imported,LIVE_BLOG_CANONICAL,https://chamanlawfirm.com/resources/blog/a-will-made-abroad-cover-property-in-ogun,200 route evidence,,Sanity has approved public blog slug and canonical blog route,Sanity/config/static route evidence,yes
https://chamanlawfirm.com/abandonment-and-withdrew-of-court-action,redirected_to_live_blog,LIVE_BLOG_CANONICAL,https://chamanlawfirm.com/resources/blog/abandonment-and-withdrew-of-court-action,200 route evidence,configured one-hop,Sanity has approved public blog slug and canonical blog route,Sanity/config/static route evidence,yes
