priority,legacy url,recommended target,selection,action taken,redirect status,legal review status,seo risk,notes
1,https://chamanlawfirm.com/documents-to-verify-before-buying-property/,https://chamanlawfirm.com/practice-areas/property-real-estate-law/property-due-diligence,selected,exact static-authority redirect added,active after deployment,pending page-level wording review,medium,"Target is a live property due-diligence service page and is sitemap-included. No blog article was published."
2,https://chamanlawfirm.com/how-to-verify-land-title-before-buying-land/,https://chamanlawfirm.com/practice-areas/property-real-estate-law/property-verification,already covered,keep existing exact service redirect,active,pending page-level wording review,low,"Existing target remains exact and live."
3,https://chamanlawfirm.com/debt-recovery-lawyer-nigeria/,https://chamanlawfirm.com/practice-areas/debt-recovery,already covered,keep existing practice-area redirect,active,pending page-level wording review,low,"Target is a live service/practice page."
4,https://chamanlawfirm.com/obtaining-a-certificate-of-occupancy-c-of-o/,https://chamanlawfirm.com/resources/blog/obtaining-a-certificate-of-occupancy-c-of-o,deferred,no change,pending,requires lawyer review,high,"High-value C of O topic needs exact article or service page recovery. Avoid broad redirect."
5,https://chamanlawfirm.com/rights-of-a-property-owner-in-nigeria/,https://chamanlawfirm.com/resources/blog/rights-of-a-property-owner-in-nigeria,deferred,no change,pending,requires lawyer review,medium,"Potential duplicate/cannibalization risk with property owner and land-title content."
6,https://chamanlawfirm.com/land-use-act-1978/,https://chamanlawfirm.com/resources/blog/land-use-act-1978,deferred,no change,pending,requires lawyer review,high,"Potential cannibalization with existing Land Use Act articles."
7,https://chamanlawfirm.com/gain-nigerian-citizenship-by-marriage/,https://chamanlawfirm.com/practice-areas/immigration-services,already covered,keep existing practice redirect,pending exact recovery,requires immigration review,medium,"Do not publish a standalone article until current immigration eligibility wording is reviewed."
8,https://chamanlawfirm.com/how-to-legally-change-a-child-surname/,https://chamanlawfirm.com/practice-areas/family-law,already covered,keep existing family-law redirect,pending exact recovery,requires family-law review,high,"Sensitive child/family-law topic remains blocked for exact recovery."
9,https://chamanlawfirm.com/the-role-of-the-judiciary-in-nigerian-democracy/,https://chamanlawfirm.com/resources/blog/the-role-of-the-judiciary-in-nigerian-democracy,deferred,no change,pending,requires legal education review,medium,"Potential authority article, not a service page."
10,https://chamanlawfirm.com/the-nigerian-legal-system/,https://chamanlawfirm.com/resources/blog/the-nigerian-legal-system,deferred,no change,pending,requires legal education review,medium,"Needs source recovery and architecture decision before publication."
