priority rank,old URL,post title,image source,image found yes/no,image uploaded to Sanity yes/no,Sanity image asset reference,alt text,fallback used yes/no,repeated image risk,old repeated image refreshed yes/no,notes
1,https://chamanlawfirm.com/navigating-the-probate-registry-in-ogun-state/,Navigating the Probate Registry in Ogun State,./domains/chamanlawfirm.com/public_html/wp-content/uploads/2025/07/Complete-Guide-to-Probate-Registry-in-Lago-Process-Requirements-Legal-Tips-1-768x513.jpg,yes,yes,image-0c77aa0cadfe6bda0eb7fbbf32733562694d3c6e-768x513-jpg,Navigating the Probate Registry in Ogun State legal guide | Chaman Law Firm,no,not detected in Sprint 10N recovered image evidence,no,existing_asset_reused
2,https://chamanlawfirm.com/how-to-verify-property-titles-in-nigeria/,How to Verify Property Titles in Nigeria,./domains/chamanlawfirm.com/public_html/wp-content/uploads/2025/04/CCA1383C-92F8-4741-8A30-C8DC1A83EDCF-768x456.png,yes,yes,image-f412611859c961d3743716f306c29535d3c1d98f-768x456-png,How to Verify Property Titles in Nigeria legal guide | Chaman Law Firm,no,not detected in Sprint 10N recovered image evidence,no,uploaded
3,https://chamanlawfirm.com/division-in-divorce-proceedings/,Division of Property in Divorce Proceedings in Nigeria,./domains/chamanlawfirm.com/public_html/wp-content/uploads/2024/09/01-71.jpg,yes,yes,image-f6340ebe056937ae7ecdb519a42f1be1c3c73789-299x168-jpg,Division of Property in Divorce Proceedings in Nigeria legal guide | Chaman Law Firm,no,not detected in Sprint 10N recovered image evidence,no,uploaded
4,https://chamanlawfirm.com/how-to-verify-a-propertys-survey-plan-in-lagos/,How To Verify A Propertys Survey Plan In Lagos,,no,no,,How To Verify A Propertys Survey Plan In Lagos legal guide | Chaman Law Firm,no,not detected in Sprint 10N recovered image evidence,no,image not found in archive from SQL/RankMath/body evidence
5,https://chamanlawfirm.com/calculate-land-use-charge-chaman-law-firm/,How to Calculate Land Use Charge in Nigeria,./domains/chamanlawfirm.com/public_html/wp-content/uploads/2025/10/How-Is-Capital-Gains-Tax-Calculated-on-Property-Sales-in-Lekki-1200x801.jpg,yes,yes,image-5a09ef23e0c6c6a130c9cfdb5134baf0cececdc1-1200x801-jpg,How to Calculate Land Use Charge in Nigeria legal guide | Chaman Law Firm,no,not detected in Sprint 10N recovered image evidence,no,existing_asset_reused
6,https://chamanlawfirm.com/how-does-the-land-use-act-involve-the-surveyor-generals-office/,How Does The Land Use Act Involve The Surveyor Generals Office,./domains/chamanlawfirm.com/public_html/wp-content/uploads/2024/09/How-do-Land-Surveyors-Contribute-to-Determining-Land-Boundaries-in-Nigeria-768x512.jpg,yes,no,,How Does The Land Use Act Involve The Surveyor Generals Office legal guide | Chaman Law Firm,no,not detected in Sprint 10N recovered image evidence,no,ready for upload
7,https://chamanlawfirm.com/strategies-to-handle-a-bad-tenant-legally/,Legal Strategies for Handling Difficult Tenants in Nigeria,./domains/chamanlawfirm.com/public_html/wp-content/uploads/2024/12/how-to-deal-with-Bad-Tenants-1170x694.jpg,yes,yes,image-8298c75bcef6a0cff8236c60353249833f1d13a6-1170x694-jpg,Legal Strategies for Handling Difficult Tenants in Nigeria legal guide | Chaman Law Firm,no,not detected in Sprint 10N recovered image evidence,no,uploaded
8,https://chamanlawfirm.com/verify-land-titles-before-buying-property/,How to Verify Land Titles Before Buying Property,./domains/chamanlawfirm.com/public_html/wp-content/uploads/2025/10/How-do-I-Verify-Land-Titles-Before-Buying-Property-in-Lekki-1200x800.png,yes,yes,image-4bbb35ff8b7098acf574075d2d965d99bb87c2cf-1200x800-png,How to Verify Land Titles Before Buying Property legal guide | Chaman Law Firm,no,not detected in Sprint 10N recovered image evidence,no,uploaded
9,https://chamanlawfirm.com/business-registration-process-in-lagosa-com/,Business Registration Process in Lagos,./domains/chamanlawfirm.com/public_html/wp-content/uploads/2024/10/business-registration.jpg,yes,yes,image-8b61f07a45b9c2bf4c1b6c8392d57f07a363b468-870x537-jpg,Business Registration Process in Lagos legal guide | Chaman Law Firm,no,not detected in Sprint 10N recovered image evidence,no,uploaded
10,https://chamanlawfirm.com/difference-between-excision-gazette-c-of-o/,"Difference Between Excision, Gazette and Certificate of Occupancy",./domains/chamanlawfirm.com/public_html/wp-content/uploads/2025/10/What-is-the-difference-between-Excision-Gazette-C-of-O-and-Governors-Consent-in-Lekki-properties-1170x694.png,yes,yes,image-87712bb52a47e3475e30638056d8454d72393f5b-1170x694-png,"Difference Between Excision, Gazette and Certificate of Occupancy legal guide | Chaman Law Firm",no,not detected in Sprint 10N recovered image evidence,no,uploaded
11,https://chamanlawfirm.com/family-courts-and-specialized-tribunals/,Family Courts And Specialized Tribunals,./domains/chamanlawfirm.com/public_html/wp-content/uploads/2024/09/ChildC_IMG-1170x694.webp,yes,no,,Family Courts And Specialized Tribunals legal guide | Chaman Law Firm,no,not detected in Sprint 10N recovered image evidence,no,ready for upload
12,https://chamanlawfirm.com/9-cyber-crime-prosecution-breakthrough-ch/,Cybercrime Prosecution in Nigeria,./domains/chamanlawfirm.com/public_html/wp-content/uploads/2024/10/images-92.jpeg,yes,yes,image-c951d3a850ca335781d903c07c6de2fbf3deeffd-346x145-jpg,Cybercrime Prosecution in Nigeria legal guide | Chaman Law Firm,no,not detected in Sprint 10N recovered image evidence,no,uploaded
13,https://chamanlawfirm.com/regarding-the-custody-of-a-child/,Regarding The Custody Of A Child,,no,no,,Regarding The Custody Of A Child legal guide | Chaman Law Firm,no,not detected in Sprint 10N recovered image evidence,no,image not found in archive from SQL/RankMath/body evidence
14,https://chamanlawfirm.com/real-estate-title-frauds-in-nigeria/,Real Estate Title Frauds In Nigeria,./domains/chamanlawfirm.com/public_html/wp-content/uploads/2024/09/chaman-properties-best-real-estate-and-property-company-in-Nigeria-Aok3l1GOnWc2wxnk-mb.jpg.webp,yes,no,,Real Estate Title Frauds In Nigeria legal guide | Chaman Law Firm,no,not detected in Sprint 10N recovered image evidence,no,ready for upload
15,https://chamanlawfirm.com/dealing-with-abadtenantinlagos-for-landlords/,Dealing With Abadtenantinlagos For Landlords,./domains/chamanlawfirm.com/public_html/wp-content/uploads/2024/10/how-to-deal-with-Bad-Tenants-1170x694.jpg,yes,no,,Dealing With Abadtenantinlagos For Landlords legal guide | Chaman Law Firm,no,not detected in Sprint 10N recovered image evidence,no,ready for upload
