slug,legacy_url,title,historical_value,body_status,image_status,legal_status,duplicate_status,redirect_status,final_action,final_target,publication_status,reason
polygamy-and-multiple-marriages-in-nigeria,https://chamanlawfirm.com/polygamy-and-multiple-marriages-in-nigeria,Polygamy and Multiple Marriages in Nigeria,55,17371 chars recovered,image missing,current-law or procedure-sensitive topic; family-status topic requires lawyer review; unsupported outcome claim,redirect conflict: /practice-areas/family-law,stronger target identified,EXACT REDIRECT TO EXISTING STRONGER LIVE PAGE,https://chamanlawfirm.com/practice-areas/family-law,merged/redirect-target,stronger existing practice/service page is the safer target
can-a-minor-enter-into-a-valid-contract-in-nigeria,https://chamanlawfirm.com/can-a-minor-enter-into-a-valid-contract-in-nigeria,CAN A MINOR ENTER INTO A VALID CONTRACT IN NIGERIA?,52,1922 chars recovered,image present/alt repaired where published,low automated risk,redirect conflict: /practice-areas/corporate-commercial-law/minor-contract-capacity,stronger target identified,EXACT REDIRECT TO EXISTING STRONGER LIVE PAGE,https://chamanlawfirm.com/practice-areas/corporate-commercial-law/minor-contract-capacity,merged/redirect-target,stronger existing practice/service page is the safer target
powerful-steps-sources-of-tax-law-in-nigeria,https://chamanlawfirm.com/powerful-steps-sources-of-tax-law-in-nigeria,Sources Of Tax Law in Nigeria,49,8051 chars recovered,image present/alt repaired where published,current-law or procedure-sensitive topic,redirect conflict: /practice-areas/corporate-commercial-law,stronger target identified,EXACT REDIRECT TO EXISTING STRONGER LIVE PAGE,https://chamanlawfirm.com/practice-areas/corporate-commercial-law,merged/redirect-target,stronger existing practice/service page is the safer target
deed-of-assignment-in-nigeria,https://chamanlawfirm.com/deed-of-assignment-in-nigeria,Deed Of Assignment in Nigeria,46,720 chars recovered,image present/alt repaired where published,low automated risk,redirect conflict: /practice-areas/property-real-estate-law,stronger target identified,EXACT REDIRECT TO EXISTING STRONGER LIVE PAGE,https://chamanlawfirm.com/practice-areas/property-real-estate-law,merged/redirect-target,stronger existing practice/service page is the safer target
gain-nigerian-citizenship-by-marriage,https://chamanlawfirm.com/gain-nigerian-citizenship-by-marriage,Gain Nigerian Citizenship by Marriage,37,8004 chars recovered,image missing,current-law or procedure-sensitive topic,redirect conflict: /practice-areas/immigration-services/citizenship-by-marriage-advisory,stronger target identified,EXACT REDIRECT TO EXISTING STRONGER LIVE PAGE,https://chamanlawfirm.com/practice-areas/immigration-services/citizenship-by-marriage-advisory,merged/redirect-target,stronger existing practice/service page is the safer target
what-is-the-implication-of-quit-notice,https://chamanlawfirm.com/what-is-the-implication-of-quit-notice,Implication of Quit Notice,34,5275 chars recovered,image missing,possible unsafe self-help wording; current-law or procedure-sensitive topic,redirect conflict: /practice-areas/property-real-estate-law/quit-notice-advisory,stronger target identified,EXACT REDIRECT TO EXISTING STRONGER LIVE PAGE,https://chamanlawfirm.com/practice-areas/property-real-estate-law/quit-notice-advisory,merged/redirect-target,stronger existing practice/service page is the safer target
individual-tax-clearance-certificate,https://chamanlawfirm.com/individual-tax-clearance-certificate,Individual Tax Clearance Certificate,10,2143 chars recovered,image present/alt repaired where published,current-law or procedure-sensitive topic,no configured redirect conflict,stronger target identified,EXACT REDIRECT TO EXISTING STRONGER LIVE PAGE,https://chamanlawfirm.com/practice-areas/corporate-commercial-law/tax-clearance-certificate,merged/redirect-target,stronger existing practice/service page is the safer target
steps-on-how-to-confidently-report-acrimelaw,https://chamanlawfirm.com/steps-on-how-to-confidently-report-acrimelaw,Steps On How To Confidently Report Acrimelaw,10,6822 chars recovered,image present/alt repaired where published,current-law or procedure-sensitive topic,no configured redirect conflict,stronger target identified,EXACT REDIRECT TO EXISTING STRONGER LIVE PAGE,https://chamanlawfirm.com/practice-areas/litigation-dispute-resolution,merged/redirect-target,stronger existing practice/service page is the safer target
how-to-legally-evict-a-tenant-in-lagos-state,https://chamanlawfirm.com/how-to-legally-evict-a-tenant-in-lagos-state,How To Legally Evict A Tenant in Lagos State Without Breaking the Law,10,10969 chars recovered,image present/alt repaired where published,possible unsafe self-help wording; current-law or procedure-sensitive topic; dispute-resolution wording requires lawyer review,no configured redirect conflict,stronger target identified,EXACT REDIRECT TO EXISTING STRONGER LIVE PAGE,https://chamanlawfirm.com/practice-areas/property-real-estate-law,merged/redirect-target,stronger existing practice/service page is the safer target
how-to-calculate-and-pay-land-use-charge,https://chamanlawfirm.com/how-to-calculate-and-pay-land-use-charge,How To Calculate and Pay Land Use Charge,10,10206 chars recovered,image present/alt repaired where published,current-law or procedure-sensitive topic,redirect conflict: /practice-areas/property-real-estate-law/land-use-charge,stronger target identified,EXACT REDIRECT TO EXISTING STRONGER LIVE PAGE,https://chamanlawfirm.com/practice-areas/property-real-estate-law/land-use-charge,merged/redirect-target,stronger existing practice/service page is the safer target
