old URL,old title,old content type,current status,clicks,impressions,average position,backlink/ranking evidence if available,source body found,source body quality,image found,current Sanity status,current redirect status,sitemap status,page type,legal risk,current-law risk,duplicate/cannibalization risk,business value,recommended recovery path,proposed final URL,priority score,notes
https://chamanlawfirm.com/,Home,general legal education,live canonical/static,1598,1598,,1598 clicks; 78655 impressions; avg position 25.32 from local GSC Pages.csv,not confirmed,needs review before publication,not confirmed,not restored,live canonical/static,not included until restored/approved or static target exists,blog,low/medium - editorial and legal review still required,medium,requires check,score based on local GSC evidence,merge into existing stronger live page,https://chamanlawfirm.com/,15996,Imported from SPRINT-11S-DEEP-LEGACY-RECOVERY-INVENTORY.csv; Sprint 11T documented status without publishing hidden content.
https://chamanlawfirm.com/landlord-and-tenant-rights-in-nigeria/,Landlord And Tenant Rights In Nigeria,property/title,redirect configured to /resources/blog/landlord-and-tenant-rights-in-nigeria,1579,1579,,1579 clicks; 59489 impressions; avg position 8.76 from local GSC Pages.csv,not confirmed,needs review before publication,yes,approved public,redirect configured to /resources/blog/landlord-and-tenant-rights-in-nigeria,included,blog,medium - verify current law and facts before publication,medium,requires check,score based on local GSC evidence,restore as blog post,https://chamanlawfirm.com/resources/blog/landlord-and-tenant-rights-in-nigeria,15806,Imported from SPRINT-11S-DEEP-LEGACY-RECOVERY-INVENTORY.csv; Sprint 11T documented status without publishing hidden content.
https://chamanlawfirm.com/obtaining-a-certificate-of-occupancy-c-of-o/,Obtaining A Certificate Of Occupancy C Of O,property/title,redirect configured to /resources/blog/how-do-i-obtain-a-certificate-of-occupancy,1173,1173,,1173 clicks; 39662 impressions; avg position 4.42 from local GSC Pages.csv,not confirmed,needs review before publication,not confirmed,hidden/not approved,redirect configured to /resources/blog/how-do-i-obtain-a-certificate-of-occupancy,included,blog,medium - verify current law and facts before publication,medium,requires check,score based on local GSC evidence,restore as blog post,https://chamanlawfirm.com/resources/blog/how-do-i-obtain-a-certificate-of-occupancy,11742,Imported from SPRINT-11S-DEEP-LEGACY-RECOVERY-INVENTORY.csv; Sprint 11T documented status without publishing hidden content.
https://chamanlawfirm.com/cac-public-search-guide-nigeria/,CAC Public Search Guide Nigeria,corporate/commercial,redirect configured to /resources/blog/cac-public-search-guide-nigeria,1009,1009,,1009 clicks; 77699 impressions; avg position 8.95 from local GSC Pages.csv,not confirmed,needs review before publication,yes,approved public,redirect configured to /resources/blog/cac-public-search-guide-nigeria,included,blog,low/medium - editorial and legal review still required,medium,requires check,score based on local GSC evidence,restore as blog post,https://chamanlawfirm.com/resources/blog/cac-public-search-guide-nigeria,10100,Imported from SPRINT-11S-DEEP-LEGACY-RECOVERY-INVENTORY.csv; Sprint 11T documented status without publishing hidden content.
https://chamanlawfirm.com/the-jurisdiction-of-courts-in-nigeria/,The Jurisdiction Of Courts In Nigeria,litigation/ADR,redirect configured to /resources/blog/the-jurisdiction-of-courts-in-nigeria,770,770,,770 clicks; 40707 impressions; avg position 17.01 from local GSC Pages.csv,not confirmed,needs review before publication,yes,approved public,redirect configured to /resources/blog/the-jurisdiction-of-courts-in-nigeria,included,blog,low/medium - editorial and legal review still required,medium,requires check,score based on local GSC evidence,restore as blog post,https://chamanlawfirm.com/resources/blog/the-jurisdiction-of-courts-in-nigeria,7708,Imported from SPRINT-11S-DEEP-LEGACY-RECOVERY-INVENTORY.csv; Sprint 11T documented status without publishing hidden content.
https://chamanlawfirm.com/the-concept-of-rule-of-law-in-nigeria/,The Concept Of Rule Of Law In Nigeria,general legal education,hidden Sanity draft; do not redirect,763,763,,763 clicks; 51092 impressions; avg position 8.05 from local GSC Pages.csv,yes in Sanity queue,needs review before publication,not confirmed,hidden/not approved,hidden Sanity draft; do not redirect,not included until restored/approved or static target exists,blog,low/medium - editorial and legal review still required,medium,requires check,score based on local GSC evidence,"keep hidden only if legally unsafe, duplicate, or genuinely unsuitable",https://chamanlawfirm.com/resources/blog/the-concept-of-rule-of-law-in-nigeria,7638,Imported from SPRINT-11S-DEEP-LEGACY-RECOVERY-INVENTORY.csv; Sprint 11T documented status without publishing hidden content.
https://chamanlawfirm.com/types-of-tenant-in-nigeria/,Types Of Tenant In Nigeria,property/title,redirect configured to /resources/blog/types-of-tenant-in-nigeria,758,758,,758 clicks; 23316 impressions; avg position 10.41 from local GSC Pages.csv,not confirmed,needs review before publication,yes,approved public,redirect configured to /resources/blog/types-of-tenant-in-nigeria,included,blog,medium - verify current law and facts before publication,medium,requires check,score based on local GSC evidence,restore as blog post,https://chamanlawfirm.com/resources/blog/types-of-tenant-in-nigeria,7588,Imported from SPRINT-11S-DEEP-LEGACY-RECOVERY-INVENTORY.csv; Sprint 11T documented status without publishing hidden content.
https://chamanlawfirm.com/how-to-change-car-ownership-in-nigeria/,How To Change Car Ownership In Nigeria,general legal education,live 404,731,731,,731 clicks; 34973 impressions; avg position 8.93 from local GSC Pages.csv,not confirmed,needs review before publication,not confirmed,not restored,live 404,not included until restored/approved or static target exists,blog,low/medium - editorial and legal review still required,medium,requires check,score based on local GSC evidence,restore as blog post,https://chamanlawfirm.com/resources/blog/how-to-change-car-ownership-in-nigeria,7417,Imported from SPRINT-11S-DEEP-LEGACY-RECOVERY-INVENTORY.csv; Sprint 11T documented status without publishing hidden content.
https://chamanlawfirm.com/about-us/,About Us,general legal education,redirect configured to /about,733,733,,733 clicks; 41803 impressions; avg position 6.17 from local GSC Pages.csv,not confirmed,needs review before publication,not confirmed,not restored,redirect configured to /about,included,blog,low/medium - editorial and legal review still required,medium,requires check,score based on local GSC evidence,redirect one-hop to closest exact live equivalent,https://chamanlawfirm.com/about,7337,Imported from SPRINT-11S-DEEP-LEGACY-RECOVERY-INVENTORY.csv; Sprint 11T documented status without publishing hidden content.
https://chamanlawfirm.com/proper-steps-to-eviction-of-tenants/,Proper Steps To Eviction Of Tenants,property/title,redirect configured to /resources/blog/proper-steps-to-eviction-of-tenants,708,708,,708 clicks; 32444 impressions; avg position 9.43 from local GSC Pages.csv,not confirmed,needs review before publication,yes,approved public,redirect configured to /resources/blog/proper-steps-to-eviction-of-tenants,included,blog,high - lawyer review required before publication,high,requires check,score based on local GSC evidence,restore as blog post,https://chamanlawfirm.com/resources/blog/proper-steps-to-eviction-of-tenants,7087,Imported from SPRINT-11S-DEEP-LEGACY-RECOVERY-INVENTORY.csv; Sprint 11T documented status without publishing hidden content.
