priority,old URL,proposed final URL,page type,decision,target status,canonical-safe,sitemap-safe,legal review status,recommended next action,notes
1,https://chamanlawfirm.com/conditions-for-granting-injunctions-and-types-of-injunctions,https://chamanlawfirm.com/practice-areas/litigation-dispute-resolution,service,exact redirect already configured; verify only,200,needs page-level canonical confirmation,included,low/medium - editorial and legal review still required,retain existing redirect; no new redirect needed,configured to /practice-areas/litigation-dispute-resolution
2,https://chamanlawfirm.com/understanding-rent-increase-laws-in-lagos,https://chamanlawfirm.com/practice-areas/property-real-estate-law,service,exact redirect already configured; verify only,200,needs page-level canonical confirmation,included,low/medium - editorial and legal review still required,retain existing redirect; no new redirect needed,configured to /practice-areas/property-real-estate-law
3,https://chamanlawfirm.com/overview-of-the-concept-recovery-of-premises,https://chamanlawfirm.com/practice-areas/property-real-estate-law,service,exact redirect already configured; verify only,200,needs page-level canonical confirmation,included,low/medium - editorial and legal review still required,retain existing redirect; no new redirect needed,configured to /practice-areas/property-real-estate-law
4,https://chamanlawfirm.com/documents-apostilled-in-nigeria,https://chamanlawfirm.com/practice-areas/notary-public-services,service,exact redirect already configured; verify only,200,needs page-level canonical confirmation,included,low/medium - editorial and legal review still required,retain existing redirect; no new redirect needed,configured to /practice-areas/notary-public-services
5,https://chamanlawfirm.com/cost-of-building-approval-chaman-law-firm,https://chamanlawfirm.com/practice-areas/property-real-estate-law,service,exact redirect already configured; verify only,200,needs page-level canonical confirmation,included,low/medium - editorial and legal review still required,retain existing redirect; no new redirect needed,configured to /practice-areas/property-real-estate-law
6,https://chamanlawfirm.com/land-grabbing-the-legal-consequences-of,https://chamanlawfirm.com/practice-areas/property-real-estate-law,service,exact redirect already configured; verify only,200,needs page-level canonical confirmation,included,medium - verify current law and facts before publication,retain existing redirect; no new redirect needed,configured to /practice-areas/property-real-estate-law
7,https://chamanlawfirm.com/overview-of-latches-and-acquiescence,https://chamanlawfirm.com/practice-areas/litigation-dispute-resolution,service,exact redirect already configured; verify only,200,needs page-level canonical confirmation,included,low/medium - editorial and legal review still required,retain existing redirect; no new redirect needed,configured to /practice-areas/litigation-dispute-resolution
8,https://chamanlawfirm.com/property-how-to-place-a-caveat,https://chamanlawfirm.com/practice-areas/property-real-estate-law,service,exact redirect already configured; verify only,200,needs page-level canonical confirmation,included,medium - verify current law and facts before publication,retain existing redirect; no new redirect needed,configured to /practice-areas/property-real-estate-law
9,https://chamanlawfirm.com/can-a-landlord-increase-rent-arbitrarily-in-ogun,https://chamanlawfirm.com/practice-areas/property-real-estate-law,service,exact redirect already configured; verify only,200,needs page-level canonical confirmation,included,medium - verify current law and facts before publication,retain existing redirect; no new redirect needed,configured to /practice-areas/property-real-estate-law
10,https://chamanlawfirm.com/types-of-parties-to-a-civil-action,https://chamanlawfirm.com/practice-areas/litigation-dispute-resolution,service,exact redirect already configured; verify only,200,needs page-level canonical confirmation,included,low/medium - editorial and legal review still required,retain existing redirect; no new redirect needed,configured to /practice-areas/litigation-dispute-resolution
