"priority","wave","legacy_url","legacy_path","new_route","new_canonical","topic","pillar","clicks","impressions","primary_reviewer","support_reviewer","migration_status","lawyer_review_status","content_instruction"
"1","Wave 1 - highest traffic","https://chamanlawfirm.com/landlord-and-tenant-rights-in-nigeria/","/landlord-and-tenant-rights-in-nigeria/","/resources/blog/landlord-and-tenant-rights-in-nigeria","https://chamanlawfirm.com/resources/blog/landlord-and-tenant-rights-in-nigeria","Tenancy, landlord and eviction","Property and tenancy law","1579","59489","Charles Chukwuma Nkwoka","Justina Edewede Obriko","Roadmap migrated to register; source body pending extraction","Not started","Extract legacy body; preserve search intent; lawyer-review before Sanity import."
"2","Wave 1 - highest traffic","https://chamanlawfirm.com/obtaining-a-certificate-of-occupancy-c-of-o/","/obtaining-a-certificate-of-occupancy-c-of-o/","/resources/blog/obtaining-a-certificate-of-occupancy-c-of-o","https://chamanlawfirm.com/resources/blog/obtaining-a-certificate-of-occupancy-c-of-o","Certificate of Occupancy and right of occupancy","Property title and perfection","1173","39662","Charles Chukwuma Nkwoka","Ibraheem Akewusola","Roadmap migrated to register; source body pending extraction","Not started","Extract legacy body; preserve search intent; lawyer-review before Sanity import."
"3","Wave 1 - highest traffic","https://chamanlawfirm.com/cac-public-search-guide-nigeria/","/cac-public-search-guide-nigeria/","/resources/blog/cac-public-search-guide-nigeria","https://chamanlawfirm.com/resources/blog/cac-public-search-guide-nigeria","CAC, company registration and corporate compliance","Corporate and commercial law","1009","77699","Justina Edewede Obriko","Ibraheem Akewusola","Roadmap migrated to register; source body pending extraction","Not started","Extract legacy body; preserve search intent; lawyer-review before Sanity import."
"4","Wave 1 - highest traffic","https://chamanlawfirm.com/the-concept-of-rule-of-law-in-nigeria/","/the-concept-of-rule-of-law-in-nigeria/","/resources/blog/the-concept-of-rule-of-law-in-nigeria","https://chamanlawfirm.com/resources/blog/the-concept-of-rule-of-law-in-nigeria","Other legal/general information","Legal education and civic law","763","51092","Charles Chukwuma Nkwoka","Arinze Amobi","Roadmap migrated to register; source body pending extraction","Not started","Extract legacy body; preserve search intent; lawyer-review before Sanity import."
"5","Wave 1 - highest traffic","https://chamanlawfirm.com/types-of-tenant-in-nigeria/","/types-of-tenant-in-nigeria/","/resources/blog/types-of-tenant-in-nigeria","https://chamanlawfirm.com/resources/blog/types-of-tenant-in-nigeria","Tenancy, landlord and eviction","Property and tenancy law","758","23316","Justina Edewede Obriko","Charles Chukwuma Nkwoka","Roadmap migrated to register; source body pending extraction","Not started","Extract legacy body; preserve search intent; lawyer-review before Sanity import."
"6","Wave 1 - highest traffic","https://chamanlawfirm.com/the-jurisdiction-of-courts-in-nigeria/","/the-jurisdiction-of-courts-in-nigeria/","/resources/blog/the-jurisdiction-of-courts-in-nigeria","https://chamanlawfirm.com/resources/blog/the-jurisdiction-of-courts-in-nigeria","Court jurisdiction and civil procedure","Litigation and dispute resolution","770","40707","Arinze Amobi","Justina Edewede Obriko","Roadmap migrated to register; source body pending extraction","Not started","Extract legacy body; preserve search intent; lawyer-review before Sanity import."
"7","Wave 1 - highest traffic","https://chamanlawfirm.com/proper-steps-to-eviction-of-tenants/","/proper-steps-to-eviction-of-tenants/","/resources/blog/proper-steps-to-eviction-of-tenants","https://chamanlawfirm.com/resources/blog/proper-steps-to-eviction-of-tenants","Tenancy, landlord and eviction","Property litigation and tenancy disputes","708","32444","Arinze Amobi","Justina Edewede Obriko","Roadmap migrated to register; source body pending extraction","Not started","Extract legacy body; preserve search intent; lawyer-review before Sanity import."
"8","Wave 1 - highest traffic","https://chamanlawfirm.com/the-ogun-state-tenancy-law-chaman-law-firm/","/the-ogun-state-tenancy-law-chaman-law-firm/","/resources/blog/the-ogun-state-tenancy-law-chaman-law-firm","https://chamanlawfirm.com/resources/blog/the-ogun-state-tenancy-law-chaman-law-firm","Tenancy, landlord and eviction","Property and tenancy law","646","10043","Justina Edewede Obriko","Charles Chukwuma Nkwoka","Roadmap migrated to register; source body pending extraction","Not started","Extract legacy body; preserve search intent; lawyer-review before Sanity import."
"9","Wave 1 - highest traffic","https://chamanlawfirm.com/building-permit-approval-in-ogun-state/","/building-permit-approval-in-ogun-state/","/resources/blog/building-permit-approval-in-ogun-state","https://chamanlawfirm.com/resources/blog/building-permit-approval-in-ogun-state","Other legal/general information","Property development compliance","629","22729","Charles Chukwuma Nkwoka","Ibraheem Akewusola","Roadmap migrated to register; source body pending extraction","Not started","Extract legacy body; preserve search intent; lawyer-review before Sanity import."
"10","Wave 1 - highest traffic","https://chamanlawfirm.com/how-to-change-name-with-deed-poll/","/how-to-change-name-with-deed-poll/","/resources/blog/how-to-change-name-with-deed-poll","https://chamanlawfirm.com/resources/blog/how-to-change-name-with-deed-poll","Land ownership, title and registration","Notary and legal documentation","531","24126","Charles Chukwuma Nkwoka","Justina Edewede Obriko","Roadmap migrated to register; source body pending extraction","Not started","Extract legacy body; preserve search intent; lawyer-review before Sanity import."
"11","Wave 2 - high value","https://chamanlawfirm.com/ways-to-prove-ownership-of-land/","/ways-to-prove-ownership-of-land/","/resources/blog/ways-to-prove-ownership-of-land","https://chamanlawfirm.com/resources/blog/ways-to-prove-ownership-of-land","Land ownership, title and registration","Property title and perfection","442","28020","Charles Chukwuma Nkwoka","Martha Elendu","Roadmap migrated to register; source body pending extraction","Not started","Extract legacy body; preserve search intent; lawyer-review before Sanity import."
"12","Wave 2 - high value","https://chamanlawfirm.com/how-to-notarize-a-document-in-nigeria/","/how-to-notarize-a-document-in-nigeria/","/resources/blog/how-to-notarize-a-document-in-nigeria","https://chamanlawfirm.com/resources/blog/how-to-notarize-a-document-in-nigeria","Notary, affidavits and document authentication","Notary and legal documentation","351","27073","Charles Chukwuma Nkwoka","Victoria N. Nwofia","Roadmap migrated to register; source body pending extraction","Not started","Extract legacy body; preserve search intent; lawyer-review before Sanity import."
"13","Wave 2 - high value","https://chamanlawfirm.com/community-development-associations-law/","/community-development-associations-law/","/resources/blog/community-development-associations-law","https://chamanlawfirm.com/resources/blog/community-development-associations-law","Other legal/general information","Regulatory and community law","372","16011","Justina Edewede Obriko","Ibraheem Akewusola","Roadmap migrated to register; source body pending extraction","Not started","Extract legacy body; preserve search intent; lawyer-review before Sanity import."
"14","Wave 2 - high value","https://chamanlawfirm.com/difference-between-ownership-and-possession/","/difference-between-ownership-and-possession/","/resources/blog/difference-between-ownership-and-possession","https://chamanlawfirm.com/resources/blog/difference-between-ownership-and-possession","Other legal/general information","Property title and possession","375","13367","Charles Chukwuma Nkwoka","Martha Elendu","Roadmap migrated to register; source body pending extraction","Not started","Extract legacy body; preserve search intent; lawyer-review before Sanity import."
