priority rank,old URL,old title,old meta title,old meta description,old content type,current live status,GSC evidence,featured snippet evidence,backlink evidence,source body found,source body quality,old image availability,image recovery status,Sanity status,best new route,preserve URL or redirect,redirect target,canonical,sitemap status,legal safety status,approval status,recovery classification,priority score,notes
1,https://chamanlawfirm.com/,Home,,,general legal education,live canonical/static,1598 clicks; 78655 impressions; avg position 25.32 from local GSC Pages.csv,not available locally,not available locally in Sprint 11R,partial evidence available,requires legal/editorial review before publication,legacy image not confirmed,image recovery needed,not restored,/,preserve same URL,/,https://chamanlawfirm.com/,not included until restored/approved or static target exists,low/medium - editorial and legal review still required,not restored,merge into existing stronger live page,16767,Selected for deep Sprint 11R recovery inventory.
2,https://chamanlawfirm.com/landlord-and-tenant-rights-in-nigeria/,Landlord And Tenant Rights In Nigeria,Landlord and Tenant Rights in Nigeria: Complete Legal Guide,"Understand your rights as a landlord or tenant in Nigeria. Learn about tenancy laws, and rent obligations under Nigerian property law.",property/title,redirect configured to /resources/blog/landlord-and-tenant-rights-in-nigeria,1579 clicks; 59489 impressions; avg position 8.76 from local GSC Pages.csv,not available locally,not available locally in Sprint 11R,partial evidence available,requires legal/editorial review before publication,Sanity image present,image and alt present in Sanity,approved public,/resources/blog/landlord-and-tenant-rights-in-nigeria,redirect old URL to best new route,/resources/blog/landlord-and-tenant-rights-in-nigeria,https://chamanlawfirm.com/resources/blog/landlord-and-tenant-rights-in-nigeria,included,medium - verify current law and facts before publication,approved public,restore as blog post,16435,Selected for deep Sprint 11R recovery inventory.
3,https://chamanlawfirm.com/obtaining-a-certificate-of-occupancy-c-of-o/,Obtaining A Certificate Of Occupancy C Of O,The best way to obtain Certificate of Occupancy in Nigeria,"Certificate of Occupancy In Nigeria, for a person to successfully establish ownership or acquisition of land or landed property,",property/title,redirect configured to /resources/blog/how-do-i-obtain-a-certificate-of-occupancy,1173 clicks; 39662 impressions; avg position 4.42 from local GSC Pages.csv,not available locally,not available locally in Sprint 11R,partial evidence available,requires legal/editorial review before publication,legacy image not confirmed,image recovery needed,hidden/not approved,/resources/blog/how-do-i-obtain-a-certificate-of-occupancy,redirect old URL to best new route,/resources/blog/how-do-i-obtain-a-certificate-of-occupancy,https://chamanlawfirm.com/resources/blog/how-do-i-obtain-a-certificate-of-occupancy,included,medium - verify current law and facts before publication,hidden/not approved,restore as blog post,12177,Selected for deep Sprint 11R recovery inventory.
4,https://chamanlawfirm.com/cac-public-search-guide-nigeria/,CAC Public Search Guide Nigeria,How to Use CAC Public Search in Nigeria | Chaman Law Firm,"Learn how CAC public search helps verify Nigerian company information, what it can and cannot prove, and when to request legal due diligence.",corporate/commercial,redirect configured to /resources/blog/cac-public-search-guide-nigeria,1009 clicks; 77699 impressions; avg position 8.95 from local GSC Pages.csv,not available locally,not available locally in Sprint 11R,partial evidence available,requires legal/editorial review before publication,Sanity image present,image and alt present in Sanity,approved public,/resources/blog/cac-public-search-guide-nigeria,redirect old URL to best new route,/resources/blog/cac-public-search-guide-nigeria,https://chamanlawfirm.com/resources/blog/cac-public-search-guide-nigeria,included,low/medium - editorial and legal review still required,approved public,restore as blog post,10917,Selected for deep Sprint 11R recovery inventory.
5,https://chamanlawfirm.com/the-jurisdiction-of-courts-in-nigeria/,The Jurisdiction Of Courts In Nigeria,The Jurisdiction of Courts in Nigeria | Chaman Law Firm,"Understand how Nigerian court jurisdiction works, why the correct forum matters, and why legal advice is important before filing a claim.",litigation/ADR,redirect configured to /resources/blog/the-jurisdiction-of-courts-in-nigeria,770 clicks; 40707 impressions; avg position 17.01 from local GSC Pages.csv,not available locally,not available locally in Sprint 11R,partial evidence available,requires legal/editorial review before publication,Sanity image present,image and alt present in Sanity,approved public,/resources/blog/the-jurisdiction-of-courts-in-nigeria,redirect old URL to best new route,/resources/blog/the-jurisdiction-of-courts-in-nigeria,https://chamanlawfirm.com/resources/blog/the-jurisdiction-of-courts-in-nigeria,included,low/medium - editorial and legal review still required,approved public,restore as blog post,8157,Selected for deep Sprint 11R recovery inventory.
6,https://chamanlawfirm.com/the-concept-of-rule-of-law-in-nigeria/,The Concept Of Rule Of Law In Nigeria,THE CONCEPT OF RULE OF LAW IN NIGERIA,"THE CONCEPT OF RULE OF LAW IN NIGERIA, Rule of law is a legal maxim that suggests that no one is above the law and governmental decisions....",general legal education,hidden Sanity draft; do not redirect,763 clicks; 51092 impressions; avg position 8.05 from local GSC Pages.csv,not available locally,not available locally in Sprint 11R,partial evidence available,requires legal/editorial review before publication,legacy image not confirmed,image recovery needed,hidden/not approved,/resources/blog/the-concept-of-rule-of-law-in-nigeria,redirect old URL to best new route,/resources/blog/the-concept-of-rule-of-law-in-nigeria,https://chamanlawfirm.com/resources/blog/the-concept-of-rule-of-law-in-nigeria,not included until restored/approved or static target exists,low/medium - editorial and legal review still required,hidden/not approved,"keep hidden only if legally unsafe, duplicate, or genuinely unsuitable",8141,Selected for deep Sprint 11R recovery inventory.
7,https://chamanlawfirm.com/types-of-tenant-in-nigeria/,Types Of Tenant In Nigeria,Types of Tenants in Nigeria | Chaman Law Firm,"Understand common types of tenants in Nigeria, including fixed-term and periodic tenancies, and why tenancy classification affects notices and rights.",property/title,redirect configured to /resources/blog/types-of-tenant-in-nigeria,758 clicks; 23316 impressions; avg position 10.41 from local GSC Pages.csv,not available locally,not available locally in Sprint 11R,partial evidence available,requires legal/editorial review before publication,Sanity image present,image and alt present in Sanity,approved public,/resources/blog/types-of-tenant-in-nigeria,redirect old URL to best new route,/resources/blog/types-of-tenant-in-nigeria,https://chamanlawfirm.com/resources/blog/types-of-tenant-in-nigeria,included,medium - verify current law and facts before publication,approved public,restore as blog post,7863,Selected for deep Sprint 11R recovery inventory.
8,https://chamanlawfirm.com/about-us/,About Us,,,general legal education,redirect configured to /about,733 clicks; 41803 impressions; avg position 6.17 from local GSC Pages.csv,not available locally,not available locally in Sprint 11R,partial evidence available,requires legal/editorial review before publication,legacy image not confirmed,image recovery needed,not restored,/about,redirect old URL to best new route,/about,https://chamanlawfirm.com/about,included,low/medium - editorial and legal review still required,not restored,redirect one-hop to closest exact live equivalent,7748,Selected for deep Sprint 11R recovery inventory.
9,https://chamanlawfirm.com/how-to-change-car-ownership-in-nigeria/,How To Change Car Ownership In Nigeria,,,general legal education,live 404,731 clicks; 34973 impressions; avg position 8.93 from local GSC Pages.csv,not available locally,not available locally in Sprint 11R,partial evidence available,requires legal/editorial review before publication,legacy image not confirmed,image recovery needed,not restored,/resources/blog/how-to-change-car-ownership-in-nigeria,redirect old URL to best new route,/resources/blog/how-to-change-car-ownership-in-nigeria,https://chamanlawfirm.com/resources/blog/how-to-change-car-ownership-in-nigeria,not included until restored/approved or static target exists,low/medium - editorial and legal review still required,not restored,restore as blog post,7660,Selected for deep Sprint 11R recovery inventory.
10,https://chamanlawfirm.com/proper-steps-to-eviction-of-tenants/,Proper Steps To Eviction Of Tenants,Proper Legal Steps to Evict a Tenant in Nigeria | Chaman Law Firm,"Learn the lawful steps landlords should consider before recovering premises, including notices, court process, and avoiding self-help eviction.",property/title,redirect configured to /resources/blog/proper-steps-to-eviction-of-tenants,708 clicks; 32444 impressions; avg position 9.43 from local GSC Pages.csv,not available locally,not available locally in Sprint 11R,partial evidence available,requires legal/editorial review before publication,Sanity image present,image and alt present in Sanity,approved public,/resources/blog/proper-steps-to-eviction-of-tenants,redirect old URL to best new route,/resources/blog/proper-steps-to-eviction-of-tenants,https://chamanlawfirm.com/resources/blog/proper-steps-to-eviction-of-tenants,included,high - lawyer review required before publication,approved public,restore as blog post,7454,Selected for deep Sprint 11R recovery inventory.
