priority rank,old URL,old slug,current status,evidence source,old title,old meta description,clicks,impressions,search result evidence,old content found yes/no,old image found yes/no,recommended action,target URL,redirect status,content recovery status,legal review status,notes
1,https://chamanlawfirm.com/obtaining-a-certificate-of-occupancy-c-of-o/,obtaining-a-certificate-of-occupancy-c-of-o,404 before Sprint 10C,GSC Pages export and Sprint 10C inventory,Obtaining a Certificate of Occupancy,,1173,39662,GSC export,No,No,Keep relevant practice-area redirect,/practice-areas/property-real-estate-law,Active from Sprint 10C,Temporary redirect only exact article not recovered,Not reviewed for exact publication,High-value property-law URL already rescued.
2,https://chamanlawfirm.com/4-steps-on-how-to-deal-with-a-bad-landlordin/,4-steps-on-how-to-deal-with-a-bad-landlordin,404 before Sprint 10C,GSC Pages export and Sprint 10C inventory,How to Deal with a Bad Landlord,,570,14414,GSC export,No,No,Keep relevant practice-area redirect,/practice-areas/property-real-estate-law,Active from Sprint 10C,Temporary redirect only exact article not recovered,Not reviewed for exact publication,Tenancy intent already rescued.
3,https://chamanlawfirm.com/joinder-of-parties-misjoinder-of-parties/,joinder-of-parties-misjoinder-of-parties,404 before Sprint 10C,GSC Pages export and Sprint 10C inventory,Joinder and Misjoinder of Parties,,553,15775,GSC export,No,No,Keep relevant practice-area redirect,/practice-areas/litigation-dispute-resolution,Active from Sprint 10C,Temporary redirect only exact article not recovered,Not reviewed for exact publication,Litigation procedure intent already rescued.
4,https://chamanlawfirm.com/gain-nigerian-citizenship-by-marriage/,gain-nigerian-citizenship-by-marriage,404 before Sprint 10C,GSC Pages export and Sprint 10C inventory,Gain Nigerian Citizenship by Marriage,,505,34961,GSC export,No,No,Keep relevant practice-area redirect,/practice-areas/immigration-services,Active from Sprint 10C,Temporary redirect only exact article not recovered,Not reviewed for exact publication,Immigration intent already rescued.
5,https://chamanlawfirm.com/statutory-right-of-occupancy-vs-customary-right/,statutory-right-of-occupancy-vs-customary-right,404 before Sprint 10C,GSC Pages export and Sprint 10C inventory,Statutory Right of Occupancy vs Customary Right,,503,14711,GSC export,No,No,Keep relevant practice-area redirect,/practice-areas/property-real-estate-law,Active from Sprint 10C,Temporary redirect only exact article not recovered,Not reviewed for exact publication,Property title intent already rescued.
6,https://chamanlawfirm.com/5-steps-on-how-to-obtain-restraining-order/,5-steps-on-how-to-obtain-restraining-order,404 before Sprint 10C,GSC Pages export and Sprint 10C inventory,How to Obtain a Restraining Order,,421,7829,GSC export,No,No,Keep relevant practice-area redirect,/practice-areas/litigation-dispute-resolution,Active from Sprint 10C,Temporary redirect only exact article not recovered,Not reviewed for exact publication,Litigation protection intent already rescued.
7,https://chamanlawfirm.com/child-support-and-maintenance-payment/,child-support-and-maintenance-payment,404 before Sprint 10C,GSC Pages export and Sprint 10C inventory,Child Support and Maintenance Payment,,366,29484,GSC export,No,No,Keep relevant practice-area redirect,/practice-areas/family-law,Active from Sprint 10C,Temporary redirect only exact article not recovered,Not reviewed for exact publication,Family-law intent already rescued.
8,https://chamanlawfirm.com/how-to-replace-a-lost-a-marriage-certificate/,how-to-replace-a-lost-a-marriage-certificate,404 before Sprint 10C,GSC Pages export and Sprint 10C inventory,How to Replace a Lost Marriage Certificate,,336,7917,GSC export,No,No,Keep relevant practice-area redirect,/practice-areas/family-law,Active from Sprint 10C,Temporary redirect only exact article not recovered,Not reviewed for exact publication,Family documentation intent already rescued.
9,https://chamanlawfirm.com/legal-steps-to-take-when-our-land-has-been/,legal-steps-to-take-when-our-land-has-been,404 before Sprint 10C,GSC Pages export and Sprint 10C inventory,Legal Steps When Land Has Been Affected,,315,8372,GSC export,No,No,Keep relevant practice-area redirect,/practice-areas/property-real-estate-law,Active from Sprint 10C,Temporary redirect only exact article not recovered,Not reviewed for exact publication,Land dispute intent already rescued.
10,https://chamanlawfirm.com/rights-of-tenants-in-ogun-chaman-law-firm/,rights-of-tenants-in-ogun-chaman-law-firm,404 before Sprint 10C,GSC Pages export and Sprint 10C inventory,Rights of Tenants in Ogun,,286,6542,GSC export,No,No,Keep relevant practice-area redirect,/practice-areas/property-real-estate-law,Active from Sprint 10C,Temporary redirect only exact article not recovered,Not reviewed for exact publication,Tenancy intent already rescued.
11,https://chamanlawfirm.com/what-is-the-implication-of-quit-notice/,what-is-the-implication-of-quit-notice,404 before Sprint 10C,GSC Pages export and Sprint 10C inventory,Implication of Quit Notice,,283,30132,GSC export,No,No,Keep relevant practice-area redirect,/practice-areas/property-real-estate-law,Active from Sprint 10C,Temporary redirect only exact article not recovered,Not reviewed for exact publication,Quit notice intent already rescued.
