"batch rank","old URL","new URL","slug","title","missing body","missing SEO title","missing meta description","missing canonical","missing published date","missing image","missing alt text","missing category","recovery request"
"1","https://chamanlawfirm.com/obtaining-a-certificate-of-occupancy-c-of-o/","/resources/blog/obtaining-a-certificate-of-occupancy-c-of-o","obtaining-a-certificate-of-occupancy-c-of-o","REQUIREMENTS FOR OBTAINING A CERTIFICATE OF OCCUPANCY (CofO) IN NIGERIA (LAGOS AND OGUN STATE)","yes","no","no","no","no","yes","yes","no","Recover original WordPress body and original media; confirm current Lagos/Ogun C of O procedure before rewrite."
"5","https://chamanlawfirm.com/how-to-change-car-ownership-in-nigeria/","/resources/blog/how-to-change-car-ownership-in-nigeria","how-to-change-car-ownership-in-nigeria","How To Change Car Ownership In Nigeria","yes","yes","yes","yes","yes","yes","yes","yes","Recover WordPress XML content, RankMath metadata, old media, publication date, and category; confirm law-firm relevance."
"6","https://chamanlawfirm.com/how-to-track-a-stolen-phone-in-nigeria/","/resources/blog/how-to-track-a-stolen-phone-in-nigeria","how-to-track-a-stolen-phone-in-nigeria","How To Track A Stolen Phone In Nigeria","yes","yes","yes","yes","yes","yes","yes","yes","Recover source content and evaluate relevance/safety; likely weak candidate unless tied to police complaint or evidence guidance."
"7","https://chamanlawfirm.com/list-of-government-agencies-of-nigeria/","/resources/blog/list-of-government-agencies-of-nigeria","list-of-government-agencies-of-nigeria","List Of Government Agencies Of Nigeria","yes","yes","yes","yes","yes","yes","yes","yes","Recover source content and verify whether it supports legal-service intent."
"8","https://chamanlawfirm.com/4-steps-on-how-to-deal-with-a-bad-landlordin/","/resources/blog/4-steps-on-how-to-deal-with-a-bad-landlordin","4-steps-on-how-to-deal-with-a-bad-landlordin","4 Steps On How To Deal With A Bad Landlordin","yes","yes","yes","yes","yes","yes","yes","yes","Recover body and metadata; correct slug/title typo if approved; ensure no self-help advice."
"9","https://chamanlawfirm.com/joinder-of-parties-misjoinder-of-parties/","/resources/blog/joinder-of-parties-misjoinder-of-parties","joinder-of-parties-misjoinder-of-parties","Joinder Of Parties Misjoinder Of Parties","yes","yes","yes","yes","yes","yes","yes","yes","Recover litigation source content and review procedure accuracy."
"12","https://chamanlawfirm.com/5-steps-on-how-to-obtain-restraining-order/","/resources/blog/5-steps-on-how-to-obtain-restraining-order","5-steps-on-how-to-obtain-restraining-order","5 Steps On How To Obtain Restraining Order","yes","yes","yes","yes","yes","yes","yes","yes","Recover source content; legal review needed for Nigerian protective-order procedure and terminology."
"13","https://chamanlawfirm.com/steps-on-how-to-confidently-report-acrimelaw/","/resources/blog/steps-on-how-to-confidently-report-acrimelaw","steps-on-how-to-confidently-report-acrimelaw","Steps On How To Confidently Report Acrimelaw","yes","yes","yes","yes","yes","yes","yes","yes","Recover source content; correct title/slug typo and assess criminal-law relevance."
"14","https://chamanlawfirm.com/what-are-elements-of-tax-law/","/resources/blog/what-are-elements-of-tax-law","what-are-elements-of-tax-law","What Are Elements Of Tax Law","yes","yes","yes","yes","yes","yes","yes","yes","Recover source content and assess whether tax topic fits current law-firm priority."
"15","https://chamanlawfirm.com/tax-administration-in-nigeria/","/resources/blog/tax-administration-in-nigeria","tax-administration-in-nigeria","Tax Administration In Nigeria","yes","yes","yes","yes","yes","yes","yes","yes","Recover source content and current tax-law review."
"17","https://chamanlawfirm.com/apply-for-drivers-licence-in-nigeria/","/resources/blog/apply-for-drivers-licence-in-nigeria","apply-for-drivers-licence-in-nigeria","Apply For Drivers Licence In Nigeria","yes","yes","yes","yes","yes","yes","yes","yes","Recover source content and assess relevance; likely archive unless legal compliance angle is strong."
"19","https://chamanlawfirm.com/child-support-and-maintenance-payment/","/resources/blog/child-support-and-maintenance-payment","child-support-and-maintenance-payment","Child Support And Maintenance Payment","yes","yes","yes","yes","yes","yes","yes","yes","Recover family-law source content, metadata, and image; lawyer review required."
"26","https://chamanlawfirm.com/5-vital-role-of-consumer-protection-agencies/","/resources/blog/5-vital-role-of-consumer-protection-agencies","5-vital-role-of-consumer-protection-agencies","5 Vital Role Of Consumer Protection Agencies","yes","yes","yes","yes","yes","yes","yes","yes","Recover source content and assess commercial/regulatory relevance."
"27","https://chamanlawfirm.com/what-is-the-implication-of-quit-notice/","/resources/blog/what-is-the-implication-of-quit-notice","what-is-the-implication-of-quit-notice","What Is The Implication Of Quit Notice","yes","yes","yes","yes","yes","yes","yes","yes","Recover tenancy source content; legal review needed for notice and court-process accuracy."
"28","https://chamanlawfirm.com/the-overall-list-of-federal-laws-in-nigeria/","/resources/blog/the-overall-list-of-federal-laws-in-nigeria","the-overall-list-of-federal-laws-in-nigeria","THE OVERALL LIST OF FEDERAL LAWS IN NIGERIA","yes","no","no","no","no","yes","yes","no","Recover original body and image; assess whether list-style legal article is worth rewriting."
"29","https://chamanlawfirm.com/polygamy-and-multiple-marriages-in-nigeria/","/resources/blog/polygamy-and-multiple-marriages-in-nigeria","polygamy-and-multiple-marriages-in-nigeria","Polygamy And Multiple Marriages In Nigeria","yes","yes","yes","yes","yes","yes","yes","yes","Recover family-law source content and current-law review."
"30","https://chamanlawfirm.com/steps-to-permanent-residency-in-nigeria/","/resources/blog/steps-to-permanent-residency-in-nigeria","steps-to-permanent-residency-in-nigeria","Steps To Permanent Residency In Nigeria","yes","yes","yes","yes","yes","yes","yes","yes","Recover immigration source content, metadata, and current procedure."
"31","https://chamanlawfirm.com/taxation-of-the-construction-sector-in-nigeria/","/resources/blog/taxation-of-the-construction-sector-in-nigeria","taxation-of-the-construction-sector-in-nigeria","Taxation Of The Construction Sector In Nigeria","yes","yes","yes","yes","yes","yes","yes","yes","Recover source content and assess property/corporate lead value."
"32","https://chamanlawfirm.com/what-are-the-sources-of-nigerian-law/","/resources/blog/what-are-the-sources-of-nigerian-law","what-are-the-sources-of-nigerian-law","What Are The Sources Of Nigerian Law","yes","yes","yes","yes","yes","yes","yes","yes","Recover source content; likely general education article requiring editorial rewrite."
"33","https://chamanlawfirm.com/sharing-of-property-after-divorce-in-nigeria/","/resources/blog/sharing-of-property-after-divorce-in-nigeria","sharing-of-property-after-divorce-in-nigeria","Sharing Of Property After Divorce In Nigeria","yes","yes","yes","yes","yes","yes","yes","yes","Recover family/property source content; legal review required."
"34","https://chamanlawfirm.com/challenges-facing-the-nigerian-court-system/","/resources/blog/challenges-facing-the-nigerian-court-system","challenges-facing-the-nigerian-court-system","Challenges Facing The Nigerian Court System","yes","yes","yes","yes","yes","yes","yes","yes","Recover source content and assess relevance to litigation services."
"36","https://chamanlawfirm.com/registration-of-trade-union-in-nigeria/","/resources/blog/registration-of-trade-union-in-nigeria","registration-of-trade-union-in-nigeria","Registration Of Trade Union In Nigeria","yes","yes","yes","yes","yes","yes","yes","yes","Recover employment/labour source content and current-law review."
"38","https://chamanlawfirm.com/how-to-file-complaint-against-police-officers-in-nigeria/","/resources/blog/how-to-file-complaint-against-police-officers-in-nigeria","how-to-file-complaint-against-police-officers-in-nigeria","How To File Complaint Against Police Officers In Nigeria","yes","yes","yes","yes","yes","yes","yes","yes","Recover source content and review human-rights/procedure accuracy."
"40","https://chamanlawfirm.com/taxation-of-sole-proprietorship/","/resources/blog/taxation-of-sole-proprietorship","taxation-of-sole-proprietorship","Taxation Of Sole Proprietorship","yes","yes","yes","yes","yes","yes","yes","yes","Recover tax source content and assess business-law relevance."
"41","https://chamanlawfirm.com/customary-vs-statutory-marriage-in-nigeria/","/resources/blog/customary-vs-statutory-marriage-in-nigeria","customary-vs-statutory-marriage-in-nigeria","Customary Vs Statutory Marriage In Nigeria","yes","yes","yes","yes","yes","yes","yes","yes","Recover family-law source content and review legal accuracy."
