priority,old URL,slug,old title,likely page type,GSC clicks,GSC impressions,SEO priority score,current redirect target,recommended final URL,public Sanity status,hidden/unapproved Sanity records,image status,legal risk,duplicate/cannibalization risk,Sprint 11J action,notes
1,https://chamanlawfirm.com/landlord-and-tenant-rights-in-nigeria,landlord-and-tenant-rights-in-nigeria,Landlord And Tenant Rights In Nigeria,blog,1579,59489,8580,https://chamanlawfirm.com/resources/blog/landlord-and-tenant-rights-in-nigeria,https://chamanlawfirm.com/resources/blog/landlord-and-tenant-rights-in-nigeria,approved public,2,image and alt present in Sanity,medium - verify current law and facts before publication,low - already public,verify live/redirect only,Broad blog migration remains on hold; restore only through controlled lawyer-reviewed batches.
2,https://chamanlawfirm.com/obtaining-a-certificate-of-occupancy-c-of-o,how-do-i-obtain-a-certificate-of-occupancy,Obtaining A Certificate Of Occupancy C Of O,blog,1173,39662,6412,https://chamanlawfirm.com/resources/blog/how-do-i-obtain-a-certificate-of-occupancy,https://chamanlawfirm.com/resources/blog/how-do-i-obtain-a-certificate-of-occupancy,approved public,3,image recovery needed,medium - verify current law and facts before publication,medium - compare hidden draft against public practice/page before approval,verify live/redirect only,Broad blog migration remains on hold; restore only through controlled lawyer-reviewed batches.
3,https://chamanlawfirm.com/cac-public-search-guide-nigeria,cac-public-search-guide-nigeria,CAC Public Search Guide Nigeria,blog,1009,77699,5912,https://chamanlawfirm.com/resources/blog/cac-public-search-guide-nigeria,https://chamanlawfirm.com/resources/blog/cac-public-search-guide-nigeria,approved public,1,image and alt present in Sanity,low/medium - editorial and legal review still required,low - already public,verify live/redirect only,Broad blog migration remains on hold; restore only through controlled lawyer-reviewed batches.
4,https://chamanlawfirm.com/the-concept-of-rule-of-law-in-nigeria,the-concept-of-rule-of-law-in-nigeria,The Concept Of Rule Of Law In Nigeria,blog,763,51092,4536,,https://chamanlawfirm.com/resources/blog/the-concept-of-rule-of-law-in-nigeria,not public,2,image recovery needed,low/medium - editorial and legal review still required,medium - compare hidden draft against public practice/page before approval,prepare as blog candidate if gates pass,Broad blog migration remains on hold; restore only through controlled lawyer-reviewed batches.
5,https://chamanlawfirm.com/the-jurisdiction-of-courts-in-nigeria,the-jurisdiction-of-courts-in-nigeria,The Jurisdiction Of Courts In Nigeria,blog,770,40707,4287,https://chamanlawfirm.com/resources/blog/the-jurisdiction-of-courts-in-nigeria,https://chamanlawfirm.com/resources/blog/the-jurisdiction-of-courts-in-nigeria,approved public,1,image and alt present in Sanity,low/medium - editorial and legal review still required,low - already public,verify live/redirect only,Broad blog migration remains on hold; restore only through controlled lawyer-reviewed batches.
6,https://chamanlawfirm.com/how-to-change-car-ownership-in-nigeria,how-to-change-car-ownership-in-nigeria,How To Change Car Ownership In Nigeria,blog,731,34973,4215,,https://chamanlawfirm.com/resources/blog/how-to-change-car-ownership-in-nigeria,not public,0,image recovery needed,low/medium - editorial and legal review still required,low/medium - compare against existing live content before publication,prepare as blog candidate if gates pass,Broad blog migration remains on hold; restore only through controlled lawyer-reviewed batches.
7,https://chamanlawfirm.com/about-us,about,About Us,static,733,41803,4173,https://chamanlawfirm.com/about,https://chamanlawfirm.com/about,not public,0,image recovery needed,low/medium - editorial and legal review still required,low/medium - compare against existing live content before publication,static/service authority planning,source body not present in Phase 5C prepared drafts; SEO title requires RankMath/source preservation or rewrite; meta description requires RankMath/source preservation or rewrite; image recovery/fallback required; redirect planning only; do not publish as article without equivalent content
8,https://chamanlawfirm.com/how-to-track-a-stolen-phone-in-nigeria,how-to-track-a-stolen-phone-in-nigeria,How To Track A Stolen Phone In Nigeria,blog,689,48652,4142,,https://chamanlawfirm.com/resources/blog/how-to-track-a-stolen-phone-in-nigeria,not public,0,image recovery needed,low/medium - editorial and legal review still required,low/medium - compare against existing live content before publication,prepare as blog candidate if gates pass,Broad blog migration remains on hold; restore only through controlled lawyer-reviewed batches.
9,https://chamanlawfirm.com/types-of-tenant-in-nigeria,types-of-tenant-in-nigeria,Types Of Tenant In Nigeria,blog,758,23316,4113,https://chamanlawfirm.com/resources/blog/types-of-tenant-in-nigeria,https://chamanlawfirm.com/resources/blog/types-of-tenant-in-nigeria,approved public,1,image and alt present in Sanity,medium - verify current law and facts before publication,low - already public,verify live/redirect only,Broad blog migration remains on hold; restore only through controlled lawyer-reviewed batches.
10,https://chamanlawfirm.com/list-of-government-agencies-of-nigeria,list-of-government-agencies-of-nigeria,List Of Government Agencies Of Nigeria,blog,608,70716,3897,,https://chamanlawfirm.com/resources/blog/list-of-government-agencies-of-nigeria,not public,0,image recovery needed,low/medium - editorial and legal review still required,low/medium - compare against existing live content before publication,prepare as blog candidate if gates pass,Broad blog migration remains on hold; restore only through controlled lawyer-reviewed batches.
11,https://chamanlawfirm.com/proper-steps-to-eviction-of-tenants,proper-steps-to-eviction-of-tenants,Proper Steps To Eviction Of Tenants,blog,708,32444,3864,https://chamanlawfirm.com/resources/blog/proper-steps-to-eviction-of-tenants,https://chamanlawfirm.com/resources/blog/proper-steps-to-eviction-of-tenants,approved public,1,image and alt present in Sanity,high - lawyer review required before publication,low - already public,verify live/redirect only,Broad blog migration remains on hold; restore only through controlled lawyer-reviewed batches.
12,https://chamanlawfirm.com/the-ogun-state-tenancy-law-chaman-law-firm,the-ogun-state-tenancy-law-chaman-law-firm,The Ogun State Tenancy Law Chaman Law Firm,blog,646,10043,3480,https://chamanlawfirm.com/resources/blog/the-ogun-state-tenancy-law-chaman-law-firm,https://chamanlawfirm.com/resources/blog/the-ogun-state-tenancy-law-chaman-law-firm,approved public,1,image and alt present in Sanity,low/medium - editorial and legal review still required,low - already public,verify live/redirect only,Broad blog migration remains on hold; restore only through controlled lawyer-reviewed batches.
13,https://chamanlawfirm.com/building-permit-approval-in-ogun-state,building-permit-approval-in-ogun-state,Building Permit Approval In Ogun State,blog,629,22729,3462,https://chamanlawfirm.com/resources/blog/building-permit-approval-in-ogun-state,https://chamanlawfirm.com/resources/blog/building-permit-approval-in-ogun-state,approved public,1,image and alt present in Sanity,low/medium - editorial and legal review still required,low - already public,verify live/redirect only,Broad blog migration remains on hold; restore only through controlled lawyer-reviewed batches.
14,https://chamanlawfirm.com/4-steps-on-how-to-deal-with-a-bad-landlordin,4-steps-on-how-to-deal-with-a-bad-landlordin,4 Steps On How To Deal With A Bad Landlordin,blog,570,14414,3084,https://chamanlawfirm.com/resources/blog/4-steps-on-how-to-deal-with-a-bad-landlordin,https://chamanlawfirm.com/resources/blog/4-steps-on-how-to-deal-with-a-bad-landlordin,approved public,1,image and alt present in Sanity,medium - verify current law and facts before publication,low - already public,verify live/redirect only,Broad blog migration remains on hold; restore only through controlled lawyer-reviewed batches.
15,https://chamanlawfirm.com/apply-for-drivers-licence-in-nigeria,apply-for-drivers-licence-in-nigeria,Apply For Drivers Licence In Nigeria,blog,373,102871,3044,,https://chamanlawfirm.com/resources/blog/apply-for-drivers-licence-in-nigeria,not public,0,image recovery needed,low/medium - editorial and legal review still required,low/medium - compare against existing live content before publication,prepare as blog candidate if gates pass,Broad blog migration remains on hold; restore only through controlled lawyer-reviewed batches.
16,https://chamanlawfirm.com/joinder-of-parties-misjoinder-of-parties,joinder-of-parties-misjoinder-of-parties,Joinder Of Parties Misjoinder Of Parties,blog,553,15775,3013,https://chamanlawfirm.com/resources/blog/joinder-of-parties-misjoinder-of-parties,https://chamanlawfirm.com/resources/blog/joinder-of-parties-misjoinder-of-parties,approved public,1,image and alt present in Sanity,low/medium - editorial and legal review still required,low - already public,verify live/redirect only,Broad blog migration remains on hold; restore only through controlled lawyer-reviewed batches.
17,https://chamanlawfirm.com/gain-nigerian-citizenship-by-marriage,immigration-services,Gain Nigerian Citizenship By Marriage,service,505,34961,2955,https://chamanlawfirm.com/practice-areas/immigration-services,https://chamanlawfirm.com/practice-areas/immigration-services,not public,0,image recovery needed,high - lawyer review required before publication,medium - confirm old topic should merge into existing practice/service page,static/service authority planning,source body not present in Phase 5C prepared drafts; SEO title requires RankMath/source preservation or rewrite; meta description requires RankMath/source preservation or rewrite; image recovery/fallback required; redirect planning only; do not publish as article without equivalent content
18,https://chamanlawfirm.com/how-to-change-name-with-deed-poll,how-to-change-name-with-deed-poll,How To Change Name With Deed Poll,blog,531,24126,2926,https://chamanlawfirm.com/resources/blog/how-to-change-name-with-deed-poll,https://chamanlawfirm.com/resources/blog/how-to-change-name-with-deed-poll,approved public,1,image and alt present in Sanity,low/medium - editorial and legal review still required,low - already public,verify live/redirect only,Broad blog migration remains on hold; restore only through controlled lawyer-reviewed batches.
19,https://chamanlawfirm.com/statutory-right-of-occupancy-vs-customary-right,statutory-right-of-occupancy-vs-customary-right,Statutory Right Of Occupancy Vs Customary Right,blog,503,14711,2812,https://chamanlawfirm.com/resources/blog/statutory-right-of-occupancy-vs-customary-right,https://chamanlawfirm.com/resources/blog/statutory-right-of-occupancy-vs-customary-right,approved public,1,image and alt present in Sanity,low/medium - editorial and legal review still required,low - already public,verify live/redirect only,Broad blog migration remains on hold; restore only through controlled lawyer-reviewed batches.
