priority rank,old URL,new URL,redirect type,status,activation condition,notes
1,https://chamanlawfirm.com/,https://chamanlawfirm.com/resources/blog/,one-hop 301,pending,"target approved, visible, indexable, in sitemap, final launch approved",not article - route separately
2,https://chamanlawfirm.com/landlord-and-tenant-rights-in-nigeria/,https://chamanlawfirm.com/resources/blog/landlord-and-tenant-rights-in-nigeria,one-hop 301,pending,"target approved, visible, indexable, in sitemap, final launch approved",migrate - preserve and QA
3,https://www.chamanlawfirm.com/,https://chamanlawfirm.com/,one-hop 301,pending,"target approved, visible, indexable, in sitemap, final launch approved",redirect only - non-article or canonical route
4,https://chamanlawfirm.com/obtaining-a-certificate-of-occupancy-c-of-o/,https://chamanlawfirm.com/resources/blog/obtaining-a-certificate-of-occupancy-c-of-o,one-hop 301,pending,"target approved, visible, indexable, in sitemap, final launch approved",migrate - preserve and QA
5,https://chamanlawfirm.com/cac-public-search-guide-nigeria/,https://chamanlawfirm.com/resources/blog/cac-public-search-guide-nigeria,one-hop 301,pending,"target approved, visible, indexable, in sitemap, final launch approved",migrate - preserve and QA
6,https://chamanlawfirm.com/the-jurisdiction-of-courts-in-nigeria/,https://chamanlawfirm.com/resources/blog/the-jurisdiction-of-courts-in-nigeria,one-hop 301,pending,"target approved, visible, indexable, in sitemap, final launch approved",migrate - preserve and QA
7,https://chamanlawfirm.com/the-concept-of-rule-of-law-in-nigeria/,https://chamanlawfirm.com/resources/blog/the-concept-of-rule-of-law-in-nigeria,one-hop 301,pending,"target approved, visible, indexable, in sitemap, final launch approved",migrate - preserve and QA
8,https://chamanlawfirm.com/types-of-tenant-in-nigeria/,https://chamanlawfirm.com/resources/blog/types-of-tenant-in-nigeria,one-hop 301,pending,"target approved, visible, indexable, in sitemap, final launch approved",migrate - preserve and QA
9,https://chamanlawfirm.com/about-us/,https://chamanlawfirm.com/about,one-hop 301,pending,"target approved, visible, indexable, in sitemap, final launch approved",redirect only - non-article or canonical route
10,https://chamanlawfirm.com/how-to-change-car-ownership-in-nigeria/,https://chamanlawfirm.com/resources/blog/how-to-change-car-ownership-in-nigeria,one-hop 301,pending,"target approved, visible, indexable, in sitemap, final launch approved",rewrite then migrate
11,https://chamanlawfirm.com/proper-steps-to-eviction-of-tenants/,https://chamanlawfirm.com/resources/blog/proper-steps-to-eviction-of-tenants,one-hop 301,pending,"target approved, visible, indexable, in sitemap, final launch approved",migrate - preserve and QA
12,https://chamanlawfirm.com/how-to-track-a-stolen-phone-in-nigeria/,https://chamanlawfirm.com/resources/blog/how-to-track-a-stolen-phone-in-nigeria,one-hop 301,pending,"target approved, visible, indexable, in sitemap, final launch approved",rewrite then migrate
13,https://chamanlawfirm.com/the-ogun-state-tenancy-law-chaman-law-firm/,https://chamanlawfirm.com/resources/blog/the-ogun-state-tenancy-law-chaman-law-firm,one-hop 301,pending,"target approved, visible, indexable, in sitemap, final launch approved",migrate - preserve and QA
14,https://chamanlawfirm.com/building-permit-approval-in-ogun-state/,https://chamanlawfirm.com/resources/blog/building-permit-approval-in-ogun-state,one-hop 301,pending,"target approved, visible, indexable, in sitemap, final launch approved",migrate - preserve and QA
15,https://chamanlawfirm.com/list-of-government-agencies-of-nigeria/,https://chamanlawfirm.com/resources/blog/list-of-government-agencies-of-nigeria,one-hop 301,pending,"target approved, visible, indexable, in sitemap, final launch approved",rewrite then migrate
16,https://chamanlawfirm.com/4-steps-on-how-to-deal-with-a-bad-landlordin/,https://chamanlawfirm.com/resources/blog/4-steps-on-how-to-deal-with-a-bad-landlordin,one-hop 301,pending,"target approved, visible, indexable, in sitemap, final launch approved",rewrite then migrate
17,https://chamanlawfirm.com/joinder-of-parties-misjoinder-of-parties/,https://chamanlawfirm.com/resources/blog/joinder-of-parties-misjoinder-of-parties,one-hop 301,pending,"target approved, visible, indexable, in sitemap, final launch approved",rewrite then migrate
18,https://chamanlawfirm.com/how-to-change-name-with-deed-poll/,https://chamanlawfirm.com/resources/blog/how-to-change-name-with-deed-poll,one-hop 301,pending,"target approved, visible, indexable, in sitemap, final launch approved",migrate - preserve and QA
19,https://chamanlawfirm.com/gain-nigerian-citizenship-by-marriage/,https://chamanlawfirm.com/gain-nigerian-citizenship-by-marriage/,one-hop 301,pending,"target approved, visible, indexable, in sitemap, final launch approved",redirect only - non-article or canonical route
20,https://chamanlawfirm.com/statutory-right-of-occupancy-vs-customary-right/,https://chamanlawfirm.com/statutory-right-of-occupancy-vs-customary-right/,one-hop 301,pending,"target approved, visible, indexable, in sitemap, final launch approved",redirect only - non-article or canonical route
