old URL,old slug,new route,redirect target,redirect type,status,target live/sitemap status,clicks,impressions,notes
"https://chamanlawfirm.com/charles-chukwuma-nkwoka/","charles-chukwuma-nkwoka","/lawyers/charles-chukwuma-nkwoka","https://chamanlawfirm.com/lawyers/charles-chukwuma-nkwoka","one-hop 308 via Next.js permanent redirect","already configured","target in sitemap","63","1321","Legacy Managing Partner profile URL has GSC clicks and exact live lawyer profile target."
"https://chamanlawfirm.com/governors-consent/","governors-consent","/practice-areas/property-real-estate-law/governors-consent","https://chamanlawfirm.com/practice-areas/property-real-estate-law/governors-consent","one-hop 308 via Next.js permanent redirect","already configured","target in sitemap","60","5918","Legacy Governor's Consent URL has GSC clicks and exact live service-page target."
"https://chamanlawfirm.com/duration-to-get-governors-consent/","duration-to-get-governors-consent","/practice-areas/property-real-estate-law/governors-consent","https://chamanlawfirm.com/practice-areas/property-real-estate-law/governors-consent","one-hop 308 via Next.js permanent redirect","already configured","target in sitemap","50","6158","Legacy Governor's Consent timing URL is same search intent as live Governor's Consent service page."
"https://chamanlawfirm.com/how-to-apply-and-get-a-governors-consent/","how-to-apply-and-get-a-governors-consent","/practice-areas/property-real-estate-law/governors-consent","https://chamanlawfirm.com/practice-areas/property-real-estate-law/governors-consent","one-hop 308 via Next.js permanent redirect","already configured","target in sitemap","27","3655","Legacy application-process URL maps directly to the live Governor's Consent service page."
"https://chamanlawfirm.com/why-is-governors-consent-compulsory/","why-is-governors-consent-compulsory","/practice-areas/property-real-estate-law/governors-consent","https://chamanlawfirm.com/practice-areas/property-real-estate-law/governors-consent","one-hop 308 via Next.js permanent redirect","already configured","target in sitemap","14","1469","Legacy informational Governor's Consent URL maps to the live Governor's Consent service page."
"https://chamanlawfirm.com/governors-consent-how-long-does-it-take/","governors-consent-how-long-does-it-take","/practice-areas/property-real-estate-law/governors-consent","https://chamanlawfirm.com/practice-areas/property-real-estate-law/governors-consent","one-hop 308 via Next.js permanent redirect","already configured","target in sitemap","10","1104","Legacy timing-intent URL maps to the live Governor's Consent service page."
"https://chamanlawfirm.com/labour-relations-and-employment-law/","labour-relations-and-employment-law","/practice-areas/employment-law","https://chamanlawfirm.com/practice-areas/employment-law","one-hop 308 via Next.js permanent redirect","already configured","target in sitemap","6","1620","Legacy employment-law authority URL maps to live Employment Law practice page."
"https://chamanlawfirm.com/labour-relations-in-nigerian-construction/","labour-relations-in-nigerian-construction","/practice-areas/employment-law","https://chamanlawfirm.com/practice-areas/employment-law","one-hop 308 via Next.js permanent redirect","already configured","target in sitemap","11","1129","Legacy labour-relations URL maps safely to live Employment Law practice page pending article recovery."
"https://chamanlawfirm.com/employment-disputes-and-grievances/","employment-disputes-and-grievances","/practice-areas/employment-law","https://chamanlawfirm.com/practice-areas/employment-law","one-hop 308 via Next.js permanent redirect","already configured","target in sitemap","5","352","Legacy employment-dispute URL maps to live Employment Law practice page."
"https://chamanlawfirm.com/notary-services-chaman-law-firm/","notary-services-chaman-law-firm","/practice-areas/notary-public-services","https://chamanlawfirm.com/practice-areas/notary-public-services","one-hop 308 via Next.js permanent redirect","already configured","target in sitemap","5","615","Legacy notary-services URL maps to live Notary Public Services page."
"https://chamanlawfirm.com/nigerian-visa-requirements-and-legal-guide/","nigerian-visa-requirements-and-legal-guide","/practice-areas/immigration-services","https://chamanlawfirm.com/practice-areas/immigration-services","one-hop 308 via Next.js permanent redirect","already configured","target in sitemap","4","3745","Legacy Nigerian visa guide URL maps to live Immigration Services page pending exact article recovery."
"https://chamanlawfirm.com/startup-legal-services-in-nigeria/","startup-legal-services-in-nigeria","/practice-areas/corporate-commercial-law","https://chamanlawfirm.com/practice-areas/corporate-commercial-law","one-hop 308 via Next.js permanent redirect","already configured","target in sitemap","5","1819","Legacy startup legal-services URL maps to live Corporate & Commercial Law page."
"https://chamanlawfirm.com/banking-and-finance-law-in-lagos/","banking-and-finance-law-in-lagos","/practice-areas/corporate-commercial-law","https://chamanlawfirm.com/practice-areas/corporate-commercial-law","one-hop 308 via Next.js permanent redirect","already configured","target in sitemap","4","2115","Legacy banking and finance legal URL maps to live Corporate & Commercial Law page."
"https://chamanlawfirm.com/roles-of-a-mediator/","roles-of-a-mediator","/practice-areas/adr-mediation","https://chamanlawfirm.com/practice-areas/adr-mediation","one-hop 308 via Next.js permanent redirect","already configured","target in sitemap","4","1584","Legacy mediator-role URL maps to live ADR / Mediation practice page."
"https://chamanlawfirm.com/enforcement-of-arbitral-awards/","enforcement-of-arbitral-awards","/practice-areas/adr-mediation","https://chamanlawfirm.com/practice-areas/adr-mediation","one-hop 308 via Next.js permanent redirect","already configured","target in sitemap","5","603","Legacy arbitral-awards URL maps to live ADR / Mediation practice page pending exact article recovery."
"https://chamanlawfirm.com/gallery/","gallery","/media","https://chamanlawfirm.com/media","one-hop 308 via Next.js permanent redirect","already configured","target in sitemap","6","529","Legacy gallery/media URL maps to live Media page."
