priority,old URL,slug,title,author,approval decision,lawyer review,image/alt,legal safety,redirect status,notes
1,https://chamanlawfirm.com/list-of-government-agencies-of-nigeria,list-of-government-agencies-of-nigeria,List of Government Agencies of Nigeria,"Charles Chukwuma Nkwoka, Esq.",not approved in Sprint 11R,required before publication,no,not detected by automated pass,"no redirect until target is approved, live, canonical-safe, and sitemap-included","missing gate(s): image, alt text, CTA, internal links"
2,https://chamanlawfirm.com/how-to-track-a-stolen-phone-in-nigeria,how-to-track-a-stolen-phone-in-nigeria,How To Track A Stolen Phone In Nigeria,"Charles Chukwuma Nkwoka, Esq.",not approved in Sprint 11R,required before publication,no,not detected by automated pass,"no redirect until target is approved, live, canonical-safe, and sitemap-included",high-risk legal/procedural topic requires lawyer review before publication
3,https://chamanlawfirm.com/how-to-change-car-ownership-in-nigeria,how-to-change-car-ownership-in-nigeria,How To Change Car Ownership In Nigeria,"Charles Chukwuma Nkwoka, Esq.",not approved in Sprint 11R,required before publication,no,not detected by automated pass,"no redirect until target is approved, live, canonical-safe, and sitemap-included","missing gate(s): image, alt text"
4,https://chamanlawfirm.com/apply-for-drivers-licence-in-nigeria,apply-for-drivers-licence-in-nigeria,Guide: How To Apply For A Driver'S Licence In Nigeria Without Stress,"Charles Chukwuma Nkwoka, Esq.",not approved in Sprint 11R,required before publication,no,not detected by automated pass,"no redirect until target is approved, live, canonical-safe, and sitemap-included","missing gate(s): image, alt text"
5,https://chamanlawfirm.com/steps-on-how-to-confidently-report-acrimelaw,steps-on-how-to-confidently-report-acrimelaw,Steps On How To Confidently Report Acrimelaw,"Charles Chukwuma Nkwoka, Esq.",not approved in Sprint 11R,required before publication,yes,not detected by automated pass,"no redirect until target is approved, live, canonical-safe, and sitemap-included",high-risk legal/procedural topic requires lawyer review before publication
6,https://chamanlawfirm.com/the-overall-list-of-federal-laws-in-nigeria,the-overall-list-of-federal-laws-in-nigeria,The Overall List of Federal Laws In Nigeria,"Charles Chukwuma Nkwoka, Esq.",not approved in Sprint 11R,required before publication,yes,not detected by automated pass,"no redirect until target is approved, live, canonical-safe, and sitemap-included",missing gate(s): body
7,https://chamanlawfirm.com/duties-of-correctional-institutions-in-nigeria,duties-of-correctional-institutions-in-nigeria,What Are the Duties of Correctional Institutions In Nigeria?,"Charles Chukwuma Nkwoka, Esq.",not approved in Sprint 11R,required before publication,no,not detected by automated pass,"no redirect until target is approved, live, canonical-safe, and sitemap-included",high-risk legal/procedural topic requires lawyer review before publication
8,https://chamanlawfirm.com/the-role-of-technology-in-nigerian-education,the-role-of-technology-in-nigerian-education,Learning: the Impact of Technology On Nigerian Education,"Charles Chukwuma Nkwoka, Esq.",not approved in Sprint 11R,required before publication,no,not detected by automated pass,"no redirect until target is approved, live, canonical-safe, and sitemap-included","cleanup required for off-brand, debris, or misleading wording"
9,https://chamanlawfirm.com/stamping-and-up-stamping-of-a-mortgage-document,stamping-and-up-stamping-of-a-mortgage-document,What Is Stamping and Up-Stamping of A Mortgage Document,"Charles Chukwuma Nkwoka, Esq.",not approved in Sprint 11R,required before publication,yes,not detected by automated pass,"no redirect until target is approved, live, canonical-safe, and sitemap-included",search intent is better served by a focused service/static authority page after review
10,https://chamanlawfirm.com/land-use-act-1978,land-use-act-1978,Understanding the Land Use Act: How It Affects You,"Charles Chukwuma Nkwoka, Esq.",not approved in Sprint 11R,required before publication,yes,not detected by automated pass,"no redirect until target is approved, live, canonical-safe, and sitemap-included",current-law/legal-review gate not cleared
