old_url,status_before,evidence,title_or_topic,recommended_action,target_url,redirect_added,notes
https://chamanlawfirm.com/family-law-lawyer-near-me/,404,"Principal-observed Google-result pattern","Family Law Lawyer Near Me - Compassionate Legal Support","Redirect to closest live practice page",https://chamanlawfirm.com/practice-areas/family-law,yes,"Exact source export not found locally; specific observed URL pattern rescued without homepage dump."
https://chamanlawfirm.com/get-the-top-legal-advice-from-experts-for-free/,404,"Principal-observed Google-result pattern","Get The Top Legal Advice From Experts For FREE","Redirect to consultation without misleading free-advice claim",https://chamanlawfirm.com/consultation,yes,"Exact source export not found locally; safe target avoids implying all legal services are free."
https://chamanlawfirm.com/top-legal-services/,404,"Sprint 9M manifest rank 348","Top Legal Services","Redirect to consultation",https://chamanlawfirm.com/consultation,yes,"Relevant live consultation target; no homepage dump."
https://chamanlawfirm.com/obtaining-a-certificate-of-occupancy-c-of-o/,404,"Sprint 9M manifest rank 4; 1173 clicks; 39662 impressions","Obtaining a Certificate of Occupancy / C of O","Redirect to property law until article is safely recovered",https://chamanlawfirm.com/practice-areas/property-real-estate-law,yes,"High-value article remains pending review/image recovery; do not route to hidden article."
https://chamanlawfirm.com/4-steps-on-how-to-deal-with-a-bad-landlordin/,404,"Sprint 9M manifest rank 16","Bad landlord / tenancy issue","Redirect to property law",https://chamanlawfirm.com/practice-areas/property-real-estate-law,yes,"Relevant tenancy/property target."
https://chamanlawfirm.com/joinder-of-parties-misjoinder-of-parties/,404,"Sprint 9M manifest rank 17","Joinder and misjoinder of parties","Redirect to litigation practice",https://chamanlawfirm.com/practice-areas/litigation-dispute-resolution,yes,"Relevant civil procedure/litigation target."
https://chamanlawfirm.com/gain-nigerian-citizenship-by-marriage/,404,"Sprint 9M manifest rank 19; 505 clicks; 34961 impressions","Gain Nigerian citizenship by marriage","Redirect to immigration services",https://chamanlawfirm.com/practice-areas/immigration-services,yes,"Immigration target is live and relevant."
https://chamanlawfirm.com/statutory-right-of-occupancy-vs-customary-right/,404,"Sprint 9M manifest rank 20","Statutory right of occupancy vs customary right","Redirect to property law",https://chamanlawfirm.com/practice-areas/property-real-estate-law,yes,"Relevant land/title target."
https://chamanlawfirm.com/5-steps-on-how-to-obtain-restraining-order/,404,"Sprint 9M manifest rank 22","Restraining order steps","Redirect to litigation practice",https://chamanlawfirm.com/practice-areas/litigation-dispute-resolution,yes,"Relevant dispute/court process target."
https://chamanlawfirm.com/child-support-and-maintenance-payment/,404,"SEO roadmap; Sprint 9M manifest rank 29; 366 clicks; 29484 impressions","Child support and maintenance payment","Redirect to family law until article is safely recovered",https://chamanlawfirm.com/practice-areas/family-law,yes,"High-value family topic remains pending review; do not route to hidden article."
https://chamanlawfirm.com/how-to-replace-a-lost-a-marriage-certificate/,404,"Phase 5B top-50 register; Sprint 9M manifest rank 31; 336 clicks","Replace lost marriage certificate","Redirect to family law until article is safely recovered",https://chamanlawfirm.com/practice-areas/family-law,yes,"Relevant family-law documentation target."
https://chamanlawfirm.com/legal-steps-to-take-when-our-land-has-been/,404,"Sprint 9M manifest rank 34","Land dispute / property legal steps","Redirect to property law",https://chamanlawfirm.com/practice-areas/property-real-estate-law,yes,"Relevant property dispute target."
https://chamanlawfirm.com/rights-of-tenants-in-ogun-chaman-law-firm/,404,"Sprint 9M manifest rank 36","Rights of tenants in Ogun","Redirect to property law",https://chamanlawfirm.com/practice-areas/property-real-estate-law,yes,"Relevant tenancy/property target."
https://chamanlawfirm.com/what-is-the-implication-of-quit-notice/,404,"Sprint 9M manifest rank 38","Quit notice implications","Redirect to property law",https://chamanlawfirm.com/practice-areas/property-real-estate-law,yes,"Relevant tenancy/property target."
https://chamanlawfirm.com/polygamy-and-multiple-marriages-in-nigeria/,404,"Sprint 9M manifest rank 40; 262 clicks; 65029 impressions","Polygamy and multiple marriages in Nigeria","Redirect to family law until article is safely recovered",https://chamanlawfirm.com/practice-areas/family-law,yes,"High-impression family topic pending review."
https://chamanlawfirm.com/steps-to-permanent-residency-in-nigeria/,404,"Sprint 9M manifest rank 41","Permanent residency in Nigeria","Redirect to immigration services",https://chamanlawfirm.com/practice-areas/immigration-services,yes,"Relevant immigration target."
https://chamanlawfirm.com/sharing-of-property-after-divorce-in-nigeria/,404,"Sprint 9M manifest rank 44; 231 clicks; 14184 impressions","Sharing property after divorce in Nigeria","Redirect to family law until article is safely recovered",https://chamanlawfirm.com/practice-areas/family-law,yes,"Relevant family/private-client target."
https://chamanlawfirm.com/challenges-facing-the-nigerian-court-system/,404,"Sprint 9M manifest rank 45","Challenges facing the Nigerian court system","Redirect to litigation practice",https://chamanlawfirm.com/practice-areas/litigation-dispute-resolution,yes,"Relevant litigation/court process target."
https://chamanlawfirm.com/how-to-secure-child-support-and-maintenance/,404,"SEO roadmap; Sprint 9M manifest rank 58; 194 clicks; 18502 impressions","How to secure child support and maintenance","Redirect to family law until article is safely recovered",https://chamanlawfirm.com/practice-areas/family-law,yes,"Relevant family-law target."
https://chamanlawfirm.com/is-foreign-marriage-under-the-nigerian-law/,404,"Phase 5B top-50 register; Sprint 9M manifest rank 48; 227 clicks","Foreign marriage under Nigerian law","Redirect to family law until article is safely recovered",https://chamanlawfirm.com/practice-areas/family-law,yes,"Relevant marriage/family-law target."
https://chamanlawfirm.com/customary-vs-statutory-marriage-in-nigeria/,404,"Sprint 9M manifest rank 52; 214 clicks; 22906 impressions","Customary vs statutory marriage in Nigeria","Redirect to family law until article is safely recovered",https://chamanlawfirm.com/practice-areas/family-law,yes,"Relevant family-law target."
https://chamanlawfirm.com/void-and-voidable-marriages-in-nigeria/,404,"Phase 5B top-50 register; Sprint 9M manifest rank 63; 172 clicks","Void and voidable marriages in Nigeria","Redirect to family law until article is safely recovered",https://chamanlawfirm.com/practice-areas/family-law,yes,"Relevant family-law target."
https://chamanlawfirm.com/dissolution-of-marriage-under-the-nigeria-law/,404,"Phase 5B top-50 register; Sprint 9M manifest rank 64; 171 clicks","Dissolution of marriage under Nigerian law","Redirect to family law until article is safely recovered",https://chamanlawfirm.com/practice-areas/family-law,yes,"Relevant family-law target."
https://chamanlawfirm.com/annulment-of-marriage-under-the-nigerian-law/,404,"Phase 5B top-50 register; Sprint 9M manifest rank 68; 163 clicks","Annulment of marriage under Nigerian law","Redirect to family law until article is safely recovered",https://chamanlawfirm.com/practice-areas/family-law,yes,"Relevant family-law target."
https://chamanlawfirm.com/complete-guide-to-probate-registry-in-lagos/,404,"Sprint 9M manifest rank 86","Probate registry in Lagos","Redirect to probate and estate administration",https://chamanlawfirm.com/practice-areas/probate-estate-administration,yes,"Relevant probate target."
