legacy post ID,old URL,old slug,post title,featured image ID,original image path,original image URL,local image found yes/no,image file type,image size,proposed Sanity image asset,proposed alt text,fallback image needed yes/no,image approval status,notes
49215,https://chamanlawfirm.com/4-steps-on-how-to-deal-with-a-bad-landlordin/,4-steps-on-how-to-deal-with-a-bad-landlordin,How to Deal with a Bad Landlord,,./domains/chamanlawfirm.com/public_html/wp-content/uploads/2024/10/how-to-deal-with-Bad-Landlord-1170x694.jpg,https://www.chamanlawfirm.com/wp-content/uploads/2024/10/how-to-deal-with-Bad-Landlord-1170x694.jpg,yes,jpeg,uploaded to Sanity,image-f6ee4ceebba9c92c07852d78112b41080476e9f4-1170x694-jpg,How tenants can deal with a bad landlord through lawful steps in Nigeria,no,existing_asset_reused,Selected for controlled publication/image completion.
48752,https://chamanlawfirm.com/5-steps-on-how-to-obtain-restraining-order/,5-steps-on-how-to-obtain-restraining-order,How to Obtain a Restraining Order,,./domains/chamanlawfirm.com/public_html/wp-content/uploads/2024/10/What-Should-You-Do-If-Your-Restraining-Order-Is-Infringed-2-1.jpg,https://www.chamanlawfirm.com/wp-content/uploads/2024/10/What-Should-You-Do-If-Your-Restraining-Order-Is-Infringed-2-1.jpg,yes,jpeg,uploaded to Sanity,image-e599645c56d2ead18080cccef30b2dde38d7c827-817x428-jpg,Steps to seek a restraining order through lawful court process in Nigeria,no,uploaded,Selected for controlled publication/image completion.
48460,https://chamanlawfirm.com/5-vital-role-of-consumer-protection-agencies/,5-vital-role-of-consumer-protection-agencies,Role of Consumer Protection Agencies,,./domains/chamanlawfirm.com/public_html/wp-content/uploads/2024/10/ConPro1-00000002.png,https://www.chamanlawfirm.com/wp-content/uploads/2024/10/ConPro1-00000002.png,yes,png,uploaded to Sanity,image-3f500b94fcc7d64c1db6f5617f112cdadd8e82c8-600x556-png,Consumer protection agencies and consumer rights in Nigeria,no,existing_asset_reused,Selected for controlled publication/image completion.
37189,https://chamanlawfirm.com/challenges-facing-the-nigerian-court-system/,challenges-facing-the-nigerian-court-system,Challenges Facing the Nigerian Court System,,,,no,,,,Challenges Facing the Nigerian Court System legal guide | Chaman Law Firm,yes,needs suitable legal fallback,Kept hidden until image and lawyer review are complete.
46538,https://chamanlawfirm.com/child-support-and-maintenance-payment/,child-support-and-maintenance-payment,Child Support and Maintenance Payment,,./domains/chamanlawfirm.com/public_html/wp-content/uploads/2024/09/01-63.jpg,https://chamanlawfirm.com/wp-content/uploads/2024/09/01-63.jpg,yes,jpeg,uploaded to Sanity,image-db26bb045b34b7889691c1d8adddfbf513fae077-276x183-jpg,Child support and maintenance payment guidance under Nigerian family law,no,uploaded,Selected for controlled publication/image completion.
9603,https://chamanlawfirm.com/community-development-associations-law/,community-development-associations-law,Community Development Associations Law,,./domains/chamanlawfirm.com/public_html/wp-content/uploads/2024/09/community-development-associations-law-of-lagos-state-1-dOqr3a80rrcQjQZa-3.jpg,https://chamanlawfirm.com/wp-content/uploads/2024/09/community-development-associations-law-of-lagos-state-1-dOqr3a80rrcQjQZa-3.jpg,yes,jpeg,uploaded to Sanity,image-955aea7e3e3c6490e3a4260c729106c7e2ee48f4-1080x608-jpg,Community development association law and property governance in Nigeria,no,existing_asset_reused,Selected for controlled publication/image completion.
9293,https://chamanlawfirm.com/difference-between-ownership-and-possession/,difference-between-ownership-and-possession,Difference between Ownership and Possession,,./domains/chamanlawfirm.com/public_html/wp-content/uploads/2024/09/ownership-and-possession-A0xbOxDBWMSR2Olr-2.png,https://chamanlawfirm.com/wp-content/uploads/2024/09/ownership-and-possession-A0xbOxDBWMSR2Olr-2.png,yes,png,uploaded to Sanity,image-fc7698ab0cef5623d9a253b0f5595533137be137-727x377-png,Difference between ownership and possession in Nigerian property law,no,existing_asset_reused,Selected for controlled publication/image completion.
59581,https://chamanlawfirm.com/gain-nigerian-citizenship-by-marriage/,gain-nigerian-citizenship-by-marriage,Gain Nigerian Citizenship by Marriage,,,,no,,,,Gain Nigerian Citizenship by Marriage legal guide | Chaman Law Firm,yes,needs suitable legal fallback,Kept hidden until image and lawyer review are complete.
10128,https://chamanlawfirm.com/how-to-replace-a-lost-a-marriage-certificate/,how-to-replace-a-lost-a-marriage-certificate,How to Replace a Lost Marriage Certificate,,,https://cdn.zyrosite.com/cdn-builder-placeholders/blog/blog-placeholder-2.png,no,,,,How to Replace a Lost Marriage Certificate legal guide | Chaman Law Firm,yes,needs suitable legal fallback,Kept hidden until image and lawyer review are complete.
9847,https://chamanlawfirm.com/joinder-of-parties-misjoinder-of-parties/,joinder-of-parties-misjoinder-of-parties,Joinder and Misjoinder of Parties,,./domains/chamanlawfirm.com/public_html/wp-content/uploads/2024/09/joinder-of-parties-AoP1b3kPnRuDP2W6-1-1200x675.jpg,https://chamanlawfirm.com/wp-content/uploads/2024/09/joinder-of-parties-AoP1b3kPnRuDP2W6-1-1200x675.jpg,yes,jpeg,uploaded to Sanity,image-ad1e21fe2d67c17ee019b8fb90ca4f7e9c740510-1200x675-jpg,Joinder and misjoinder of parties in Nigerian civil procedure,no,uploaded,Selected for controlled publication/image completion.
51486,https://chamanlawfirm.com/legal-steps-to-take-when-our-land-has-been/,legal-steps-to-take-when-our-land-has-been,Legal Steps When Land Has Been Affected,,./domains/chamanlawfirm.com/public_html/wp-content/uploads/2024/12/images-2024-12-10T125204.493.jpeg,https://www.chamanlawfirm.com/wp-content/uploads/2024/12/images-2024-12-10T125204.493.jpeg,yes,jpeg,uploaded to Sanity,image-23394a5201a134b82fde068bd1347aff41809b98-300x168-jpg,Legal steps to take when land ownership or possession is affected in Nigeria,no,uploaded,Selected for controlled publication/image completion.
39980,https://chamanlawfirm.com/polygamy-and-multiple-marriages-in-nigeria/,polygamy-and-multiple-marriages-in-nigeria,Polygamy and Multiple Marriages in Nigeria,,,https://chamanlawfirm.com/wp-content/uploads/2024/09/Polygamy_IMG.webp,no,,,,Polygamy and Multiple Marriages in Nigeria legal guide | Chaman Law Firm,yes,needs suitable legal fallback,Kept hidden until image and lawyer review are complete.
61021,https://chamanlawfirm.com/rights-of-tenants-in-ogun-chaman-law-firm/,rights-of-tenants-in-ogun-chaman-law-firm,Rights of Tenants in Ogun,,,,no,,,,Rights of Tenants in Ogun legal guide | Chaman Law Firm,yes,needs suitable legal fallback,Kept hidden until image and lawyer review are complete.
9236,https://chamanlawfirm.com/sharing-of-property-after-divorce-in-nigeria/,sharing-of-property-after-divorce-in-nigeria,Sharing of Property after Divorce in Nigeria,,,,no,,,,Sharing of Property after Divorce in Nigeria legal guide | Chaman Law Firm,yes,needs suitable legal fallback,Kept hidden until image and lawyer review are complete.
9239,https://chamanlawfirm.com/statutory-right-of-occupancy-vs-customary-right/,statutory-right-of-occupancy-vs-customary-right,Statutory Right of Occupancy vs Customary Right,,./domains/chamanlawfirm.com/public_html/wp-content/uploads/2024/09/what-is-the-concept-of-customary-land-rights-in-nigeria-Aq268kq0wkSne1El-2-1200x561.jpg,https://chamanlawfirm.com/wp-content/uploads/2024/09/what-is-the-concept-of-customary-land-rights-in-nigeria-Aq268kq0wkSne1El-2-1200x561.jpg,yes,jpeg,uploaded to Sanity,image-c794d74ba560e0c5dbac78adbbeca14d47a1a38d-1200x561-jpg,Customary and statutory land rights in Nigeria legal guide,no,existing_asset_reused,Selected for controlled publication/image completion.
49787,https://chamanlawfirm.com/steps-to-permanent-residency-in-nigeria/,steps-to-permanent-residency-in-nigeria,Steps to Permanent Residency in Nigeria,,./domains/chamanlawfirm.com/public_html/wp-content/uploads/2024/10/images-68.jpeg,https://www.chamanlawfirm.com/wp-content/uploads/2024/10/images-68.jpeg,yes,jpeg,uploaded to Sanity,image-5eee42ff736ae78f768edb01ed06460a4b60da55-297x170-jpg,Steps toward permanent residency in Nigeria immigration law guide,no,uploaded,Selected for controlled publication/image completion.
10137,https://chamanlawfirm.com/tax-administration-in-nigeria/,tax-administration-in-nigeria,Tax Administration in Nigeria,,./domains/chamanlawfirm.com/public_html/wp-content/uploads/2024/09/Taxation-1.jpeg,https://chamanlawfirm.com/wp-content/uploads/2024/09/Taxation-1.jpeg,yes,jpeg,uploaded to Sanity,image-7926bb5c669bafb0b057ff3142cd12f19e136a5f-865x360-jpg,Tax administration in Nigeria legal compliance guide,no,existing_asset_reused,Selected for controlled publication/image completion.
9494,https://chamanlawfirm.com/taxation-of-the-construction-sector-in-nigeria/,taxation-of-the-construction-sector-in-nigeria,Taxation of the Construction Sector in Nigeria,,,,no,,,,Taxation of the Construction Sector in Nigeria legal guide | Chaman Law Firm,yes,needs suitable legal fallback,Kept hidden until image and lawyer review are complete.
