slug,old_title,final_title,title_fixed,body_enhanced,reason
polygamy-and-multiple-marriages-in-nigeria,Polygamy and Multiple Marriages in Nigeria,Polygamy and Multiple Marriages in Nigeria,no,no,stronger existing practice/service page is the safer target
can-a-minor-enter-into-a-valid-contract-in-nigeria,CAN A MINOR ENTER INTO A VALID CONTRACT IN NIGERIA?,CAN A MINOR ENTER INTO A VALID CONTRACT IN NIGERIA?,no,no,stronger existing practice/service page is the safer target
powerful-steps-sources-of-tax-law-in-nigeria,Powerful Steps Sources Of Tax Law In Nigeria,Sources Of Tax Law in Nigeria,yes,no,stronger existing practice/service page is the safer target
deed-of-assignment-in-nigeria,Deed Of Assignment In Nigeria,Deed Of Assignment in Nigeria,yes,no,stronger existing practice/service page is the safer target
gain-nigerian-citizenship-by-marriage,Gain Nigerian Citizenship by Marriage,Gain Nigerian Citizenship by Marriage,no,no,stronger existing practice/service page is the safer target
what-is-the-implication-of-quit-notice,Implication of Quit Notice,Implication of Quit Notice,no,no,stronger existing practice/service page is the safer target
individual-tax-clearance-certificate,Individual Tax Clearance Certificate,Individual Tax Clearance Certificate,no,no,stronger existing practice/service page is the safer target
steps-on-how-to-confidently-report-acrimelaw,Steps On How To Confidently Report Acrimelaw,Steps On How To Confidently Report Acrimelaw,no,no,stronger existing practice/service page is the safer target
how-to-legally-evict-a-tenant-in-lagos-state,How To Legally Evict A Tenant In Lagos State Without Breaking the Law,How To Legally Evict A Tenant in Lagos State Without Breaking the Law,yes,no,stronger existing practice/service page is the safer target
how-to-calculate-and-pay-land-use-charge,How To Calculate and Pay Land Use Charge,How To Calculate and Pay Land Use Charge,no,no,stronger existing practice/service page is the safer target
7-effective-steps-to-take-when-a-landlord-refuses-to-return-your-rent-deposit,7 Effective Steps To Take When A Landlord Refuses To Return Your Rent Deposit,7 Effective Steps To Take When A Landlord Refuses To Return Your Rent Deposit,no,no,stronger existing practice/service page is the safer target
how-to-resolve-land-disputes-in-nigeria-with,How To Resolve Land Disputes In Nigeria With,How To Resolve Land Disputes in Nigeria With,yes,no,stronger existing practice/service page is the safer target
