old URL,old title,slug,source type,content type,body recovered yes/no,body quality,image recovered yes/no,metadata recovered yes/no,draft/source record created yes/no,public-safe non-dotted record needed yes/no,hidden/source repair applied yes/no,legal risk,current-law risk,duplicate/cannibalization risk,recommended next action,priority score,notes
https://chamanlawfirm.com/building-permit-approval-in-ogun-state,How to Get Building Permit Approval in Ogun State (Full Guide),building-permit-approval-in-ogun-state,Sanity dotted hidden/source record,blog,yes,complete,yes,yes,existing hidden/source record retained,yes before publication,not selected or skipped,current-law or procedure-sensitive topic,lawyer review required,no configured redirect conflict detected,keep hidden for cleanup/lawyer review,100,Bulk track records recovered source availability first; publication remains gated.
https://chamanlawfirm.com/community-development-associations-law,Transforming Communities: The Powerful Impact of the Community Development Associations Law of Lagos State,community-development-associations-law,Sanity dotted hidden/source record,blog,yes,complete,yes,yes,existing hidden/source record retained,yes before publication,not selected or skipped,possible unsafe self-help wording,low automated risk,no configured redirect conflict detected,keep hidden for cleanup/lawyer review,99,Bulk track records recovered source availability first; publication remains gated.
https://chamanlawfirm.com/difference-between-ownership-and-possession,Difference Between Ownership and Possession,difference-between-ownership-and-possession,Sanity dotted hidden/source record,blog,yes,complete,yes,yes,existing hidden/source record retained,yes before publication,not selected or skipped,current-law or procedure-sensitive topic; dispute-resolution wording requires lawyer review,lawyer review required,no configured redirect conflict detected,keep hidden for cleanup/lawyer review,98,Bulk track records recovered source availability first; publication remains gated.
https://chamanlawfirm.com/the-statutory-right-of-occupancy-in-nigeria,What is the Statutory Right of Occupancy in Nigeria?,the-statutory-right-of-occupancy-in-nigeria,Sanity dotted hidden/source record,blog,yes,complete,yes,yes,existing hidden/source record retained,yes before publication,not selected or skipped,current-law or procedure-sensitive topic; dispute-resolution wording requires lawyer review,lawyer review required,no configured redirect conflict detected,keep hidden for cleanup/lawyer review,97,Bulk track records recovered source availability first; publication remains gated.
https://chamanlawfirm.com/rights-of-tenants-in-ogun-chaman-law-firm,What Are the Rights of Tenants in Ogun State?,rights-of-tenants-in-ogun-chaman-law-firm,Sanity dotted hidden/source record,blog,yes,complete,yes,yes,existing hidden/source record retained,yes before publication,not selected or skipped,current-law or procedure-sensitive topic,lawyer review required,no configured redirect conflict detected,keep hidden for cleanup/lawyer review,96,Bulk track records recovered source availability first; publication remains gated.
https://chamanlawfirm.com/transfer-of-company-shares-in-nigeria,TRANSFER OF COMPANY SHARES IN NIGERIA,transfer-of-company-shares-in-nigeria,Sanity dotted hidden/source record,blog,yes,complete,yes,yes,existing hidden/source record retained,yes before publication,not selected or skipped,low automated risk,low automated risk,no configured redirect conflict detected,candidate for fast publish review,95,Bulk track records recovered source availability first; publication remains gated.
https://chamanlawfirm.com/the-duties-of-lawyers-to-client,The Duties of Lawyers to Clients: 6 Essential Responsibilities for Trust and Success,the-duties-of-lawyers-to-client,Sanity dotted hidden/source record,blog,yes,complete,yes,yes,existing hidden/source record retained,yes before publication,not selected or skipped,low automated risk,low automated risk,no configured redirect conflict detected,candidate for fast publish review,94,Bulk track records recovered source availability first; publication remains gated.
https://chamanlawfirm.com/abandonment-and-withdrew-of-court-action,What You Need to Know About Consequence of Abandonment and Withdrew of Court Action in Nigeria,abandonment-and-withdrew-of-court-action,Sanity dotted hidden/source record,blog,yes,complete,yes,yes,existing hidden/source record retained,yes before publication,not selected or skipped,current-law or procedure-sensitive topic,lawyer review required,redirect conflict: /practice-areas/litigation-dispute-resolution,keep hidden for cleanup/lawyer review,93,Bulk track records recovered source availability first; publication remains gated.
https://chamanlawfirm.com/deal-with-and-bad-tenant-as-a-landlord,How to Deal with a Stubborn and Bad Tenant as a Landlord in Nigeria,deal-with-and-bad-tenant-as-a-landlord,Sanity dotted hidden/source record,blog,yes,complete,yes,yes,existing hidden/source record retained,yes before publication,not selected or skipped,possible unsafe self-help wording; current-law or procedure-sensitive topic,lawyer review required,redirect conflict: /practice-areas/property-real-estate-law,keep hidden for cleanup/lawyer review,92,Bulk track records recovered source availability first; publication remains gated.
https://chamanlawfirm.com/can-a-minor-enter-into-a-valid-contract-in-nigeria,CAN A MINOR ENTER INTO A VALID CONTRACT IN NIGERIA?,can-a-minor-enter-into-a-valid-contract-in-nigeria,Sanity dotted hidden/source record,blog,yes,complete,yes,yes,existing hidden/source record retained,yes before publication,not selected or skipped,low automated risk,low automated risk,redirect conflict: /practice-areas/corporate-commercial-law/minor-contract-capacity,candidate for fast publish review,91,Bulk track records recovered source availability first; publication remains gated.
